formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2O1S5Te1,4.335836111,7.344886111,28.491675,-0.615716486,-1.172440556,-2.273132381,3.252211111,2.940385,1.807094333,1.666596667,1.213336667,-50.50936815,3.183163333,2.853062222,1.824081667,-3.669661333,-4.352710833,-4.227008889,2.448131429,-6.800842262,-3.620571984,3.0
Fe2O2S1Te4,5.023091944,8.043104444,36.474185,-0.651977528,-1.406203889,-2.059294286,2.925765,2.09583,1.348169,1.122588333,1.088485556,-43.67746778,2.4894,2.052570556,1.412369583,-3.178402,-3.726344583,-3.319187222,3.063346667,-6.78969125,-4.469550556,3.0
Fe2O2S2Te3,4.896585278,8.055087222,34.05747333,-0.669447167,-1.281442222,-2.211691429,2.944458333,2.286571667,1.486160667,1.214696667,1.119088889,-47.02060056,2.56558,2.218035,1.464064583,-3.355667333,-3.870850833,-3.602727222,2.991218095,-6.862068929,-4.272660317,3.0
Fe2O2S3Te2,4.258786667,6.923141111,29.25116167,-0.726263278,-1.175986111,-2.462923333,3.353722222,2.8500025,1.775729,1.649486667,1.263423333,-49.41281056,3.139993333,2.883739444,1.822355833,-3.67731,-4.384540417,-4.302138333,2.456205238,-6.840745655,-3.632191349,3.0
Fe2O2S4Te1,4.190537778,6.978359444,27.409365,-0.751289986,-1.24003,-2.484735714,3.318188333,3.067963333,1.914418333,1.883351667,1.241655,-51.89983907,3.22201,3.177948333,1.94425,-3.830401333,-4.52723125,-4.463459444,2.478645238,-7.005876488,-3.718675238,3.0
Fe2O3S1Te3,4.331651111,7.635495556,30.09447667,-0.838171472,-1.329455556,-2.46361619,3.156076667,2.484725833,1.854985833,1.509505,1.186963333,-48.21797333,2.66934,2.568336667,1.928338333,-3.776084,-4.290135,-4.305765,2.72928619,-7.01942119,-4.058741746,3.0
Fe2O3S2Te2,3.774787222,6.299668889,28.50062167,-0.825130347,-1.247998889,-2.654843333,4.053393333,3.284561667,1.982013833,1.9082,1.396936667,-51.01763037,3.80977,3.683695556,2.1175575,-4.797405333,-5.793180833,-4.574883889,2.117077619,-7.910258452,-3.365076508,3.0
Fe2O3S3Te1,3.960529444,6.429918333,25.95188,-0.949467917,-1.180150556,-2.643053333,3.472766667,3.5872525,2.174395167,2.09836,1.3487,-52.81585685,3.23432,3.579248333,2.30415,-4.079967333,-4.756938333,-4.748510556,2.236962381,-6.993900714,-3.417112937,3.0
Fe2O4S1Te2,3.576652222,6.237887778,27.3483,-0.974214486,-1.38808,-2.87608619,4.190742222,3.633615833,2.1004275,2.00394,1.535886667,-51.5933137,3.840603333,3.751562222,2.145991667,-5.081787333,-5.943364583,-4.603422222,2.088709524,-8.032074107,-3.476789524,3.0
Fe2O4S2Te1,3.534832222,6.197397222,24.40389,-1.176032514,-1.607262778,-3.291954286,4.154417222,3.802908333,2.315878833,2.47008,1.497215,-52.93706593,3.81054,4.1028,2.374976667,-5.220204667,-6.053858333,-4.973658889,2.027160952,-8.081019286,-3.63442373,3.0
