formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2S3Se4,5.508821667,7.128513889,34.028895,-0.371204722,-1.200875,-1.774871429,2.813449444,2.2216675,1.524806333,1.295541333,0.859545556,-43.61487667,2.48893,1.877646111,1.341702917,-2.990150667,-3.114193333,-3.415895556,2.969852857,-6.08404619,-4.170727857,3.0
Fe2S4Se3,5.347711667,6.930568889,33.064175,-0.393605597,-1.177156667,-1.792289048,2.954231667,2.623109167,1.722248,1.4161,0.97502,-45.62705167,2.818266667,2.35871,1.6362425,-3.224157333,-3.348322917,-3.651054444,2.911551905,-6.259874821,-4.088708571,3.0
Fe2S5Se2,5.219877222,6.978308889,32.645195,-0.394614556,-1.211173333,-1.833138095,2.963086667,2.6335175,1.716573667,1.467375,0.986661667,-46.57791,2.833626667,2.534351667,1.726478333,-3.281329333,-3.460079583,-3.656071111,2.879407143,-6.339486726,-4.090580476,3.0
Fe2S6Se1,5.164832778,6.937468889,31.987395,-0.429016153,-1.160795,-1.898530476,2.939327778,2.765205833,1.783111,1.5375,0.992953333,-47.58528222,2.798046667,2.572772222,1.833569167,-3.338339333,-3.447772083,-3.735553333,2.803844762,-6.251616845,-3.964639762,3.0
Fe2S3Te4,5.887792444,8.305377222,36.548875,-0.265600056,-1.037074444,-1.436365238,2.234049444,1.561080833,1.0837716,0.829788333,0.653135,-39.00063889,1.96939,1.543007222,1.029389333,-2.400988667,-2.67371375,-2.422243889,3.36080381,-6.03451756,-4.397878254,3.0
Fe2S4Te3,5.436281667,7.092569444,34.22598,-0.3581365,-0.990701111,-1.640229048,2.641758889,2.098200833,1.312890933,1.265583333,0.896724444,-41.75051,2.642016667,2.020683889,1.398801833,-2.800222,-3.225748333,-3.152809444,2.886781429,-6.112529762,-3.87748254,3.0
Fe2S5Te2,5.360677222,7.138659444,32.894505,-0.379138639,-0.990636111,-1.661338095,2.827921111,2.262236667,1.488400933,1.419946667,0.927223333,-43.81269944,2.811546667,2.220940556,1.437221833,-3.04165,-3.450345,-3.349003333,2.81111619,-6.26146119,-3.801752302,3.0
Fe2S6Te1,5.298770278,7.123527778,32.42128,-0.423475764,-1.012579444,-1.731061905,2.902494444,2.503525833,1.682142267,1.43787,0.972289444,-45.67847778,2.956206667,2.570833889,1.5887825,-3.190752,-3.433610417,-3.509261667,2.855171429,-6.288781845,-3.867750873,3.0
Fe2Se1Te6,6.285792056,8.746384444,38.18966,-0.130601667,-1.230950556,-1.437289286,2.066032778,1.270825833,0.924623267,0.742151667,0.567933333,-35.47143222,1.82842,1.291330556,0.908568333,-2.179236,-2.449896458,-2.345586111,3.170511905,-5.620408363,-4.40146246,3.0
Fe2Se2Te5,6.286034278,8.746281111,37.502725,-0.173798167,-1.162705556,-1.458405,2.106122222,1.261235833,0.9430006,0.773626667,0.575047778,-35.67314,1.8242,1.313217778,0.891753333,-2.248216667,-2.536017917,-2.304567778,3.141248571,-5.677266488,-4.303954127,3.0
