Formula,Work function (avg. if finite dipole)
HgI2,5.273333333333333
HgO,5.041
HgO2,7.048
HgS,5.44
HgS2,5.716333333333334
HgSe,5.427
HgSe2,5.198666666666667
HgTe,5.03
HgTe2,4.794
I2Sb,4.607333333333333
I2Sb2,4.8705
I6Sb2,5.133
ISSb,5.205
ISbSe,5.08
ISbTe,4.893000000000001
In2Br2,4.5760000000000005
In2Br2N2,6.594
In2Br2O2,6.008
In2Br2S2,5.672
In2Br2Se2,5.543
In2Br6,5.938000000000001
In2Cl2,4.6765
In2Cl2N2,6.881
In2Cl2O2,6.404
In2Cl2S2,5.833
In2Cl2Se2,5.692
In2Cl6,6.4
In2F2,5.545
In2I2,4.425
In2I2N2,5.889
In2I2O2,5.133
In2I2S2,5.4
In2I2Se2,5.436
In2I6,5.4155
In2MnSe4,4.744
In2O2,4.697
In2P2S6,5.048
In2P2Se6,4.707
In2P2Te6,4.425
In2S2,4.957
In2S4,5.357
In2Se2,4.7615
In2Se3,5.1775
In2Se4,5.025
In2Si2Te6,4.726
In2Te2,4.383
In2Te4,4.8925
In2Te5,4.423
In2Zn2S5,5.353
In2Zn3S6,5.434
In2ZnS4,5.382
In3Te4,4.949
In4Br4Te4,5.309
In4Br8,5.57
In4I4Te4,5.048
InAs,4.791
InBr2,5.412
InC,4.716
InCl2,5.530666666666666
InF2,5.142
InH2O2,1.795
InI2,5.077999999999999
InLiI4O12,5.632
InN,4.56
InNaI4O12,6.057
InNi5Br2,4.292
InNi5Cl2,4.641
InNi5I2,3.877
InP,4.633
InPd5Br2,5.089
InPd5Cl2,5.532
InPd5I2,4.489
InPt5Br2,4.507
InPt5Cl2,5.289
InPt5I2,3.849
InS2,6.736
InSb,4.34
InSe2,5.995
InSiTe3,4.396
InTe2,5.19
Ir2Br2,4.952
Ir2Br2N2,5.188
Ir2Br2O2,4.166
Ir2Br2S2,5.042
Ir2Br2Se2,5.192
Ir2Br4,4.27
Ir2Br6,4.758
Ir2Cl2,5.6080000000000005
Ir2Cl2N2,5.609
Ir2Cl2O2,4.573
Ir2Cl2S2,5.48
Ir2Cl2Se2,5.617
Ir2Cl6,5.201499999999999
Ir2F2,8.046
Ir2I2,3.6944999999999997
Ir2I2N2,4.515
Ir2I2O2,3.727
Ir2I2S2,4.497
Ir2I2Se2,4.673
Ir2I6,4.346
Ir2Nb2Te8,4.466
Ir2O2,5.885333333333333
Ir2O4,6.221
Ir2O6,7.122
Ir2P2S6,5.07
Ir2P2Se6,4.761
Ir2P2Te6,4.293
Ir2S2,4.6434
Ir2S4,5.4864999999999995
Ir2S6,5.528
Ir2Se2,4.176
Ir2Se4,5.2219999999999995
Ir2Se6,4.819
Ir2Ta2Te8,4.336
Ir2Te2,3.8888
Ir2Te4,4.843500000000001
Ir2Te6,4.481
Ir4S8,5.342
Ir4Se8,4.823
Ir4Te8,4.45
Ir5Te10,4.601
IrBr2,4.298333333333333
IrCl2,4.581333333333333
IrF2,7.332
IrH2,4.415
IrI2,4.054666666666667
IrLi2,3.8
IrO2,6.719333333333334
IrS2,5.233
IrSe2,4.666333333333333
IrTe2,4.292333333333333
K,2.398
K2Br2,3.936
K2C2H2O6,3.358
K2C2O6,6.729
K2C4,6.079
K2C4H6O6,3.123
K2C6H6O6,3.97
K2Cl2,3.904
K2Cl2O6,3.805
K2F2,3.571
K2I2,3.847
K2N2O6,4.49
K2Os2Br8N2O4,6.054
K2Os2F10N2O2,5.983
K2Pt2Cl6N2,6.611
KI2,5.68
KS2,6.682
KSe2,6.08
KTe2,5.315
KTiS2,4.302
Li2B2,4.24
Li2Cl2O4,3.632
Li2F2O2,5.542
Li2F2S2,4.365
Li2H2O2,3.167
Li2H2S2,3.369
Li2H4N2,2.944
Li2H4N2O6,4.695
Li2Mn,3.442
Li2Mn2P2,2.927
Li2Mo,3.755
Li2Nb,3.442
Li2Ni,3.785
Li2Ni2As2,3.023
Li2Ni2P2,2.777
Li2Ni2Sb2,3.499
Li2Os,4.084
Li2Pb,2.904
Li2PdH2,1.984
Li2Pt,3.638
Li2PtH6O6,3.079
Li2Re,4.136
Li2Rh,3.522
Li2Ru,3.872
Li2Sc,2.997
Li2Ta,3.416
Li2Ti,3.06
Li2Ti2Cl2N2,2.56
Li2V,3.781
Li2V4O10,5.627
Li2W,3.615
Li2Zr,2.57
Li4CO4,2.618
Li4O8Sb4,3.825
Li4Zn2Si2,3.949
Li6H2O8Te2,3.249
LiC12,3.268
LiC5H5N2O5,4.472
LiNiP2S6,5.715
Mg2Cl4,5.39
Mg2Mn2Ge2,3.496
Mg2Mn2Si2,3.495
Mg2Mo2O12Te2,6.421
Mg2P2S6,5.154
Mg2P2Se6,4.919
MgB2H8,4.876
MgBr2,5.054
MgCl2,5.444
MgF2O2,6.745
MgF2S2,6.268
MgH2O2,2.888
MgH2S2,3.202
MgI2,4.436
MgNa2H4O8S2,3.382
Mn2Br2,4.487
Mn2Br2O2,5.697
Mn2Br2S4Sb2,4.328
Mn2Br2Sb2Se4,4.397
Mn2Br2Se2,5.378
Mn2Br6,6.046
Mn2C,4.786
Mn2CF2,6.293
Mn2CH2O2,1.606
Mn2Cl2,4.885
Mn2Cl2N2,6.018
Mn2Cl2O2,6.065
Mn2Cl2S4Sb2,4.524
Mn2Cl2Se2,5.584
Mn2Cl6,6.023
Mn2F2,4.171
Mn2F2N,5.624
Mn2H2NO2,1.549
Mn2H2O4,3.591
Mn2H2S4,4.407
Mn2H4O8S2,3.157
Mn2I2,4.014
Mn2I2Sb2Se4,4.376
Mn2I2Se2,5.028
Mn2I6,5.474
Mn2Mo2O12Te2,5.599
Mn2N,5.204
Mn2NO2,6.523
Mn2O2,5.019
Mn2O8Se2,5.179
Mn2P2S6,5.221
Mn2P2Se6,4.895
Mn2S2,5.061
Mn2Se2,4.5575
Mn2Se4,4.996
Mn2Sn2Sr2,2.491
Mn2Sr2Ge2,2.747
Mn2Te2,4.203
Mn2Te6,4.674
Mn3C2,4.551
Mn3C2F2,6.244
Mn3C2H2O2,1.696
Mn3C2O2,6.714
Mn3F2N2,6.21
Mn3H2N2O2,1.734
Mn3N2,4.631
Mn4C3,4.411
Mn4C3F2,6.184
Mn4C3H2O2,1.679
Mn4C3O2,6.867
Mn4H2N3O2,1.917
Mn4N3,5.612
Mn4N3O2,6.603
Mn4Pb4O12,5.254
MnBr2,5.265666666666667
MnC6N4Se2,5.315
MnCl2,5.552666666666667
MnF12Sb2,7.1
MnF2,6.234
MnH2,4.681
MnH2O2,1.819
MnI2,4.832
MnNa2F3O7P2,7.817
MnO2,6.644000000000001
MnRe2O8,5.988
MnS2,5.43
MnSe2,5.080666666666667
MnTe2,4.657
MnZrBr6,5.356
MnZrCl6,4.95
MnZrF6,5.192
MnZrI6,5.057
Mo2BO2,6.046
Mo2BS2,5.326
Mo2BSe2,4.757
Mo2Br2,4.526999999999999
Mo2Br2N2,5.333
Mo2Br2O2,4.733
Mo2Br2S2,5.389
Mo2Br2Se2,5.152
Mo2Br4,3.401
Mo2Br4O4,6.211
Mo2C,4.782
Mo2CF2,5.867
Mo2CH2O2,2.127
Mo2CO2,6.365
Mo2CS2,5.444
Mo2CSe2,4.811
Mo2Cl2,4.8195
Mo2Cl2N2,5.697
Mo2Cl2O2,5.133
Mo2Cl2S2,5.074
Mo2Cl2Se2,5.015
Mo2Cl4,3.803
Mo2Cl6,4.983499999999999
Mo2F2,5.453
Mo2F2N,5.613
Mo2H2NO2,2.312
Mo2I2,3.964
Mo2I2N2,4.786
Mo2I2O2,4.285
Mo2I2S2,4.747
Mo2I2Se2,4.784
Mo2I4,3.318
Mo2I6,4.719
Mo2N,5.004
Mo2NO2,6.83
Mo2NS2,5.455
Mo2NSe2,4.928
Mo2O10P2,5.373
Mo2O2,5.677333333333333
Mo2O4,6.688
Mo2O6,7.51
Mo2P2S6,4.262
Mo2P2Se6,4.715
Mo2P2Te6,4.364
Mo2S2,4.917
Mo2S4,5.218500000000001
Mo2S6,4.865
Mo2Se2,4.5656
Mo2Se4,4.8675
Mo2Se6,4.883
Mo2Ta2O11,7.321
Mo2Te2,4.051
Mo2Te4,4.546
Mo2Te6,4.477
Mo2V2O10,5.671
Mo2W2S8,4.938
Mo2W2Se8,4.417
Mo2W2Te8,4.173
Mo2Zn2O12Te2,6.413
Mo2Zn2O8,6.151
Mo2ZrO8,7.19
Mo3C2,4.813
Mo3C2F2,6.023
Mo3C2H2O2,1.997
Mo3C2O2,6.376
Mo3F2N2,5.539
Mo3H2N2O2,2.463
Mo3N2,5.071
Mo3N2O2,7.079
Mo3WS8,5.016
Mo3WSe8,4.493
Mo3WTe8,4.235
Mo4C3,4.801
Mo4C3F2,5.97
Mo4C3H2O2,1.676
Mo4C3O2,6.058
Mo4F2N3,4.628
Mo4H2N3O2,1.89
Mo4N3,5.6
Mo4N3O2,5.816
MoAs2,5.02
MoAsSb,4.871
MoBr2,3.893333333333333
MoBrCl,3.8040000000000003
MoBrI,3.738
MoCl2,4.151666666666666
MoClI,3.7205
MoF2,5.761
MoH2,4.825
MoH2O2,2.63
MoI2,3.818
MoO2,5.703333333333333
MoOS,5.281
MoOSe,4.903
MoOTe,4.567
MoS2,5.085
MoSSe,4.8245000000000005
MoSTe,4.640000000000001
MoSb2,4.667999999999999
MoSe2,4.61
MoSeTe,4.423500000000001
MoTe2,4.306666666666667
MoW3S8,4.834
MoW3Se8,4.321
MoW3Te8,4.109
N2Si6,4.561
Na,2.816
Na2B2H8O8,3.649
Na2C2H6N8O2,4.149
Na2C2N2S2,3.571
Na2C4,6.79
Na2F2O2,4.749
Na2F2S2,3.706
Na2H2O2,3.003
Na2H2S2,3.434
Na2H8I2O4,4.133
Na2Nb2Cl12,6.518
Na2Ni2As2,2.152
Na2Ni2P2,2.172
Na2Ni2Sb2,2.282
Na2PtH6O6,3.192
Na2SnH6O6,3.947
Na2Ta2Cl12,6.38
Na4As4O8,3.597
Na4O8S4,3.565
NaBr4C6O2,4.817
NaNb3O4,3.059
NaW2Br6O2,5.271
Nb2As2Ge2,4.952
Nb2BO2,5.736
Nb2BS2,5.714
Nb2BSe2,5.232
Nb2Br2,3.4405
Nb2Br2N2,4.959
Nb2Br2O2,4.705
Nb2Br2S2,5.116
Nb2Br2Se2,4.992
Nb2Br4O2,5.13
Nb2Br4S4,4.836
Nb2Br4Se4,4.692
Nb2Br6,4.564
Nb2C,4.536
Nb2CF2,4.343
Nb2CH2O2,2.146
Nb2CO2,5.76
Nb2CS2,5.635
Nb2CSe2,5.018
Nb2Cl2,3.3
Nb2Cl2N2,5.287
Nb2Cl2O2,5.12
Nb2Cl2S2,5.329
Nb2Cl2Se2,5.206
Nb2Cl4,3.399
Nb2Cl4S4,4.853
Nb2Cl4Se4,4.699
Nb2Cl6,4.8985
Nb2F2,4.3115000000000006
Nb2F2N,5.031
Nb2Ge2Sb2,4.742
Nb2H2NO2,2.276
Nb2I2,2.8955
Nb2I2N2,4.489
Nb2I2O2,4.253
Nb2I2O4,5.084
Nb2I2S2,4.759
Nb2I2Se2,4.698
Nb2I4,2.98
Nb2I4O2,4.703
Nb2I6,4.3985
Nb2N,4.624
Nb2NO2,5.631
Nb2NS2,5.433
Nb2NSe2,4.794
Nb2Ni2Te10,4.711
Nb2O2,4.699
Nb2O4,5.619
Nb2O6,6.637
Nb2Os2Te8,4.586
Nb2P2S6,4.059
Nb2P2Se6,4.473
Nb2P2Te6,4.5
Nb2Pd2Te10,4.686
Nb2PdS6,5.657
Nb2PdSe6,5.188
Nb2S2,4.9268
Nb2S6,4.761
Nb2Se2,4.8222000000000005
Nb2Se6,4.662
Nb2Te2,4.505599999999999
Nb2Te4,4.9
Nb2Te6,4.279
Nb3Br7S,5.055
Nb3Br8,4.434
Nb3C2,4.408
Nb3C2F2,4.807
Nb3C2H2O2,1.89
Nb3C2O2,5.194
Nb3Cl7Te,4.937
Nb3Cl8,4.584
Nb3F2N2,5.237
Nb3H2N2O2,2.116
Nb3I7Te,4.689
Nb3I8,4.236
Nb3N2,5.072
Nb3N2O2,5.433
Nb3Te6,4.711
Nb4C3,4.411
Nb4C3F2,4.754
Nb4C3H2O2,1.964
Nb4C3O2,5.595
Nb4F2N3,4.235
Nb4Ge2Te8,4.415
Nb4H2N3O2,2.34
Nb4I2Te12,4.405
Nb4N3,4.796
Nb4N3O2,5.358
Nb4Ni4Te8,4.392
Nb4O8,5.252
Nb4S12,4.689
Nb4Si2Te8,4.351
Nb6Ge2Te12,4.8
Nb6Si2Te12,4.739
Nb8C4,5.095
NbAs2,5.2235
NbAsSb,5.019
NbBr2,3.830666666666667
NbBrCl,3.742
NbBrI,3.5055
NbCl2,4.169666666666667
NbClI,3.6310000000000002
NbF2,5.823
NbF4,5.129
NbH2,4.808
NbH2O2,2.128
NbI2,3.5843333333333334
NbO2,5.281
NbS2,5.419999999999999
NbSSe,5.416
NbSTe,4.981999999999999
NbSb2,4.6895
NbSe2,5.048
NbSeTe,4.895
NbTe2,4.731000000000001
Ni2As2O7,5.787
Ni2Br2,4.323
Ni2Br2N2,5.686
Ni2Br2O2,5.753
Ni2Br2S2,5.384
Ni2Br2Se2,5.306
Ni2Br6,6.147
Ni2Cl2,4.6635
Ni2Cl2N2,6.402
Ni2Cl2O2,6.251
Ni2Cl2S2,5.761
Ni2Cl2Se2,5.695
Ni2Cl6,6.811
Ni2F2,6.724
Ni2F2O4,6.606
Ni2F2S4,5.544
Ni2H2O4,4.462
Ni2H2S4,5.067
Ni2I2,4.0575
Ni2I2N2,4.611
Ni2I2O2,4.991
Ni2I2S2,4.908
Ni2I2Se2,4.814
Ni2I6,5.359
Ni2O2,5.637333333333333
Ni2P2S6,5.223
Ni2P2Se5,4.592
Ni2P2Se6,4.882
Ni2P2Te6,4.328
Ni2S2,5.214799999999999
Ni2S4,4.868
Ni2S6,5.537
Ni2Sb2Si2,4.17
Ni2SbTe2,4.696
Ni2Se2,4.835
Ni2Se4,4.686
Ni2Se6,5.377
Ni2Ta2Te10,4.695
Ni2Ta4S10,5.417
Ni2Ta4Se10,4.959
Ni2Te2,4.5316
Ni2Te4,4.483
Ni2Te6,4.515
Ni4Ta2Se2Te2,4.495
Ni4Ta2Te4,4.32
Ni4Ta2Te6,4.511
Ni4Ta4Te8,4.24
Ni8As4Si4,4.702
NiBr2,5.676666666666667
NiC10Cl2N2,6.147
NiC12Cl2N2,6.107
NiC2N2S2,5.292
NiC4Cl2N2,6.652
NiC4H8N2O4,4.23
NiC6Cl2H4N2,4.717
NiCl2,5.981999999999999
NiCl2O8,7.147
NiF2,6.102
NiH2,4.739
NiH2O2,1.986
NiI2,5.083333333333333
NiO2,7.379666666666666
NiPS3,5.336
NiRe2O8,6.935
NiS2,4.924
NiSe2,4.731333333333333
NiTe2,4.329666666666667
NiV2Se4,5.276
NiZrBr6,5.85
NiZrCl6,6.308
NiZrF6,6.561
NiZrI6,5.258
O10P4,6.898
O14S2Te4,6.61
O2Sb,5.725
O4S8Sb8,4.448
O6Sb4,3.923
O8P2Sb2,4.544
O8Te4,4.728
OS2Sb2,5.806
OSb2Se2,5.327
OSb2Te2,4.599
Os2Br2,4.8695
Os2Br2N2,4.753
Os2Br2O2,4.124
Os2Br2S2,5.402
Os2Br2Se2,5.31
Os2Br6,4.7165
Os2Cl2,5.346500000000001
Os2Cl2N2,5.165
Os2Cl2O2,4.478
Os2Cl2S2,5.801
Os2Cl2Se2,5.643
Os2Cl6,5.0025
Os2F2,7.898
Os2I2,3.4915000000000003
Os2I2O2,3.631
Os2I2S2,4.859
Os2I2Se2,4.843
Os2I6,4.432
Os2O2,5.767
Os2O4,6.142
Os2P2S6,5.016
Os2P2Se6,4.936
Os2P2Te6,4.671
Os2S2,4.462000000000001
Os2S4,5.258
Os2Se2,4.075
Os2Se4,4.874499999999999
Os2Se6,4.948
Os2Ta2Te8,4.523
Os2Te2,3.9504000000000006
Os2Te4,4.5175
Os2Te6,4.605
OsBr2,4.009
OsCl2,4.290666666666667
OsCl2O,4.924
OsF2,6.219
OsH2,4.912
OsH2O2,1.846
OsI2,3.7880000000000003
OsO2,6.402
OsS2,4.993333333333333
OsSe2,4.501333333333334
OsTe2,4.185666666666666
P2,5.206
P2Sb2Se6,4.686
P2Sb2Te6,4.376
P2Si6,4.406
P4,4.602
P8Si4,4.977
Pb2Br2,5.590999999999999
Pb2Br2N2,6.481
Pb2Br2O2,6.216
Pb2Br2S2,6.489
Pb2Br2Se2,5.914
Pb2Br4,5.331
Pb2Cl2,5.8345
Pb2Cl2N2,6.882
Pb2Cl2O2,6.563
Pb2Cl2S2,6.781
Pb2Cl2Se2,6.091
Pb2F2,5.215
Pb2I2,5.295
Pb2I2N2,5.952
Pb2I2O2,5.853
Pb2I2S2,6.048
Pb2I2Se2,6.005
Pb2O2,3.7886666666666664
Pb2P2S6,5.286
Pb2P2Se6,5.1
Pb2P2Te6,4.826
Pb2S2,4.105333333333333
Pb2S4,4.362
Pb2Se2,4.3905
Pb2Se4,4.283
Pb2Se6,4.976
Pb2Te2,4.4799999999999995
Pb2Te4,4.209
Pb2Te6,4.823
Pb4O4,3.595
Pb6As2,4.348
Pb6N2,3.843
Pb6P2,4.297
Pb6Sb2,4.404
PbBr2,5.889
PbCl2,6.090333333333334
PbF2,5.123
PbF4,9.143
PbH2O2,3.021
PbI2,5.445666666666667
PbO,4.969
PbO2,7.659
PbS,4.831
PbS2,5.631333333333334
PbSb2Te4,4.91
PbSe,4.619
PbSe2,5.223333333333334
PbTe,4.171
PbTe2,4.966666666666667
PbWO4,5.666
Pd2Br2,5.461
Pd2Br2N2,5.916
Pd2Br2O2,5.417
Pd2Br2S2,5.35
Pd2Br6,6.0115
Pd2Cl2,6.0120000000000005
Pd2Cl2N2,6.548
Pd2Cl2O2,5.737
Pd2Cl2S2,5.754
Pd2Cl2Se2,5.71
Pd2Cl4,5.985
Pd2Cl6,6.582
Pd2F2,7.361
Pd2I2,4.6835
Pd2I2N2,4.598
Pd2I2O2,4.901
Pd2I2S2,4.834
Pd2I2Se2,4.866
Pd2I4O12,5.27
Pd2I6,5.3260000000000005
Pd2N4O12,6.284
Pd2O2,6.434
Pd2O6Se2,4.771000000000001
Pd2P2S6,5.162
Pd2P2Se6,4.778
Pd2P2Te6,4.404
Pd2S2,5.472
Pd2S4,4.987
Pd2Se2,5.082
Pd2Se4,4.747
Pd2Te2,4.6930000000000005
Pd2Te4,4.518
Pd3P2S8,5.579
Pd3Ta3Te14,4.521
Pd4I8,5.257
Pd4P4S4,5.186
Pd4P4Se4,4.973
Pd4Tl2Se6,4.408
Pd6Ta4Te10,4.461
PdBr2,5.749
PdCl2,6.288333333333334
PdF2,8.13
PdH2O2,2.479
PdI2,5.1290000000000004
PdO,5.402
PdO2,6.5776666666666666
PdS2,5.146
PdSe2,4.509666666666667
PdTa2S6,5.585
PdTa2Se6,5.128
PdTe2,4.203333333333333
Pt2Br2,5.209
Pt2Br2N2,5.244
Pt2Br2O2,4.477
Pt2Br2S2,4.692
Pt2Br2Se2,4.7
Pt2Br6,5.4615
Pt2Cl2,5.4765
Pt2Cl2N2,5.672
Pt2Cl2O2,4.885
Pt2Cl2S2,5.061
Pt2Cl2Se2,5.01
Pt2Cl6,5.890000000000001
Pt2F2,7.856
Pt2I2,4.2605
Pt2I2N2,4.602
Pt2I2O2,4.411
Pt2I2S2,4.313
Pt2I2Se2,4.322
Pt2I4,4.463
Pt2I6,4.938000000000001
Pt2O2,5.914333333333334
Pt2P2S6,4.621
Pt2P2Se6,4.743
Pt2P2Te6,4.145
Pt2S2,5.110200000000001
Pt2S4,4.692
Pt2Se2,4.61
Pt2Se4,4.67
Pt2Se6,4.838
Pt2Ta2Te10,4.683
Pt2Ta4Se14,5.055
Pt2Te2,4.356833333333333
Pt2Te4,4.433
Pt2Te6,4.502
Pt4I8,4.752
Pt4Tl2S6,4.222
Pt4Tl2Se6,4.195
Pt4Tl2Te6,4.069
PtBr2,5.156666666666666
PtCl2,5.536666666666666
PtF2,7.676
PtH2,4.462
PtH2O2,2.158
PtI2,4.651666666666666
PtO2,6.826333333333333
PtS2,5.309666666666667
PtSe2,4.773333333333333
PtTe2,4.131333333333333
Rb2Br2,3.768
Rb2Br2F8,6.447
Rb2C2F6O6S2,4.237
Rb2C4,5.841
Rb2Cl2,3.765
Rb2F2,3.381
Rb2I2,3.699
RbI2,5.656
RbS2,6.961
RbSe2,6.242
RbSnS2,4.059
RbTe2,5.435
RbTiS2,4.215
Re2Br2,4.766500000000001
Re2Br4,3.376
Re2Br6,4.434
Re2Cl2,5.141
Re2Cl4,3.575
Re2Cl6,4.706
Re2F2,6.4079999999999995
Re2I2,4.1555
Re2I4,3.623
Re2I6,4.1665
Re2N2,5.42
Re2O2,5.445666666666667
Re2O4,6.506
Re2S2,4.436999999999999
Re2S4,5.025
Re2Se2,3.9135
Re2Se4,4.438
Re2Te2,3.8335
Re2Te4,3.877
Re2ZnO8,6.915
Re4O8,6.032
Re4S8,5.086
Re4Se8,4.487
Re4Te8,4.103
Re6Cl2Se8,5.698
ReBr2,3.8000000000000003
ReCl2,3.961
ReF2,6.046
ReH2,4.951
ReI2,3.703
ReO2,6.561
ReS2,4.675
ReSe2,4.256
ReTe2,4.0553333333333335
Rh2Br2,4.6965
Rh2Br2N2,5.767
Rh2Br2O2,4.991
Rh2Br2S2,5.72
Rh2Br2Se2,5.799
Rh2Br4,4.71
Rh2Br6,5.416
Rh2Cl2,5.634
Rh2Cl2N2,6.295
Rh2Cl2O2,5.44
Rh2Cl2S2,6.235
Rh2Cl2Se2,6.271
Rh2Cl2Te2,4.894
Rh2Cl4,5.077
Rh2Cl6,5.9225
Rh2F2,7.4175
Rh2I2,3.9965
Rh2I2N2,4.719
Rh2I2O2,4.435
Rh2I2S2,5.116
Rh2I2Se2,5.186
Rh2I6,4.734
Rh2O2,5.997
Rh2O6,7.418
Rh2P2S6,4.675
Rh2P2Se6,4.586
Rh2P2Te6,4.232
Rh2S2,4.9064
Rh2S4,5.6315
Rh2Se2,4.4318
Rh2Se4,5.308
Rh2Ta2Te8,4.41
Rh2Te2,4.098999999999999
Rh2Te4,4.948
Rh2Te6,4.616
Rh4S8,5.694
Rh4Se8,5.199
RhBr2,5.114666666666667
RhCl2,5.477
RhF2,8.05
RhH2,5.086
RhH2O2,1.704
RhI2,4.541333333333333
RhO2,6.689333333333334
RhS2,5.518
RhSe2,4.922666666666667
RhTe2,4.511
Ru2Br2,5.037
Ru2Br2N2,5.342
Ru2Br2O2,4.806
Ru2Br2S2,5.847
Ru2Br2Se2,5.804
Ru2Br6,5.299
Ru2Cl2,5.54
Ru2Cl2N2,5.844
Ru2Cl2O2,5.226
Ru2Cl2S2,6.325
Ru2Cl2Se2,6.092
Ru2Cl6,5.614
Ru2F2,7.4765
Ru2F8,7.629
Ru2I2,3.6245000000000003
Ru2I2N2,4.699
Ru2I2O2,4.213
Ru2I2S2,5.231
Ru2I2Se2,5.211
Ru2I6,4.824
Ru2O2,5.914666666666666
Ru2O4,6.661
Ru2P2S6,4.951
Ru2P2Se6,4.802
Ru2P2Te6,4.7
Ru2S2,4.7806
Ru2S4,5.3705
Ru2Se2,4.335
Ru2Se4,5.0155
Ru2Se6,4.465
Ru2Ta2Te8,4.602
Ru2Te2,4.09875
Ru2Te4,4.705500000000001
Ru2Te6,4.693
RuBr2,4.726666666666667
RuCl2,4.980333333333333
RuCl2O,5.794
RuF2,6.026
RuH2,5.339
RuH2O2,1.633
RuI2,4.2636666666666665
RuO2,5.983999999999999
RuS2,5.278666666666667
RuSe2,4.763
RuTe2,4.402666666666666
S2Sb,5.718333333333334
S2Sb2,4.77
S2Sb2Se,5.618
S2Sb2Te,5.477
S2Si,5.782
S2Si2,4.4399999999999995
S3Sb2,5.608
S4Sb2,4.24
S8Si4,4.893
SSb2Se2,5.254
SSb2Te2,4.782
Sb2,4.067
Sb2Se2,4.593
Sb2Se2Te,5.218
Sb2Se3,5.272
Sb2Se4,4.703
Sb2SeTe2,4.811
Sb2Si6,4.422
Sb2Te2,4.5465
Sb2Te3,4.797
Sb2Te4,4.705
Sb4,3.81
SbSe2,5.415333333333334
SbTe2,4.9126666666666665
Sc2Br2,3.951
Sc2Br2N2,7.186
Sc2Br2O2,5.635
Sc2Br2S2,5.616
Sc2Br2Se2,5.302
Sc2Br4,3.436
Sc2Br6,5.6745
Sc2C,4.098
Sc2CCl2,5.51
Sc2CF2,4.516
Sc2CH2O2,1.348
Sc2CO2,6.378
Sc2Cl2,4.3580000000000005
Sc2Cl2H2,3.798
Sc2Cl2N,4.426
Sc2Cl2N2,7.267
Sc2Cl2O2,6.208
Sc2Cl2S2,5.705
Sc2Cl2Se2,5.34
Sc2Cl4,3.642
Sc2Cl6,6.2155000000000005
Sc2F2,3.743
Sc2F2N,3.768
Sc2H2NO2,2.043
Sc2I2,3.7055
Sc2I2N2,5.842
Sc2I2O2,4.879
Sc2I2S2,5.245
Sc2I2Se2,5.098
Sc2I6,5.0645
Sc2N,4.313
Sc2NO2,7.272
Sc2O13Te5,4.413
Sc2O2,3.374333333333333
Sc2P2S6,4.834
Sc2P2S8,5.563
Sc2P2Se6,4.52
Sc2P2Te6,4.306
Sc2S2,4.2816
Sc2S4,6.695
Sc2S6,6.029
Sc2Se2,4.450799999999999
Sc2Se6,5.642
Sc2Te2,4.3751999999999995
Sc2Te4,4.372
Sc2Te6,4.981
Sc3C2,3.626
Sc3C2F2,5.213
Sc3C2H2O2,1.588
Sc3C2O2,3.947
Sc3F2N2,4.029
Sc3H2N2O2,1.793
Sc3N2,4.034
Sc3N2O2,6.399
Sc4C3,3.035
Sc4C3F2,5.06
Sc4C3H2O2,1.686
Sc4C3O2,6.306
Sc4F2N3,3.624
Sc4H2N3O2,2.043
Sc4I4O4,4.69
Sc4N3,3.923
Sc4N3O2,7.231
Sc4S6,4.567
ScBr2,3.709666666666667
ScCl2,3.8983333333333334
ScF2,4.266
ScH2,3.939
ScH2O2,2.54
ScI2,3.470333333333334
ScO2,7.1739999999999995
ScS2,6.508
ScSe2,5.981999999999999
ScTe2,5.445333333333333
Se2Si,5.409
Se2Si2,4.4105
Si2,4.605
Si2Te2,4.028499999999999
SiTe2,4.79
Sn2,4.269
Sn2Br2,5.3805
Sn2Br2N2,5.625
Sn2Br2O2,5.404
Sn2Br2S2,5.85
Sn2Br2Se2,5.862
Sn2C2H6O6P2,3.644
Sn2Cl2,5.6465
Sn2Cl2N2,5.88
Sn2Cl2O2,5.496
Sn2Cl2S2,6.112
Sn2Cl2Se2,6.127
Sn2F2,6.875
Sn2F2O6P2,4.807
Sn2H2,4.66
Sn2H2O6P2,3.997
Sn2I2,5.1370000000000005
Sn2I2N2,5.159
Sn2I2O2,5.128
Sn2I2S2,5.491
Sn2I2Se2,5.559
Sn2O2,3.6246666666666667
Sn2O6P2,4.799
Sn2O8S2,5.809
Sn2P2S6,5.012
Sn2P2Se6,4.832
Sn2P2Te6,4.565
Sn2PS6,5.545
Sn2S2,3.8975
Sn2Se2,3.9495
Sn2Se4,4.131
Sn2Te2,3.9855
Sn2Te4,4.079
Sn6As2,4.423
Sn6N2,4.088
Sn6P2,4.413
Sn6Sb2,4.427
SnBr2,5.386
SnCl2,5.573
SnF2,4.384
SnF4,8.579
SnH2O2,2.549
SnI2,4.984
SnO,5.075
SnO2,7.3453333333333335
SnS,4.937
SnS2,5.811333333333334
SnSe,4.653
SnSe2,5.370333333333334
SnTe,4.176
SnTe2,4.843333333333333
Sr2Br2,2.557
Sr2Br2H2,4.511
Sr2C,2.274
Sr2Cl4O8,3.517
Sr2F2,2.812
Sr2F2I2,4.319
Sr2H8O6,3.629
Sr2I2,3.627
Sr2N,3.329
Sr2O12P4,5.635
SrBr2,5.085666666666667
SrCl2,5.25
