Formula,Work function (avg. if finite dipole)
AuTe2,4.572333333333333
B2,5.345
B2N,6.413
B3C10N3,4.265
BC,5.779
BN,3.487
BP,4.678
BSb,4.345
Ba2Br2,2.458
Ba2Cl2,2.562
Ba2CuHgTlO5,5.274
Ba2H8O6,3.518
Ba2I2,2.43
Ba2Mg2Pb2,3.591
Ba2Mg2Sn2,3.693
Ba2Mn2Ge2,2.398
Ba2N,3.003
Ba4F4Sb4Se8,4.876
BaBr2,4.934333333333334
BaCl2,5.052333333333333
BaF12Sb2,8.176
BaF2,4.683
BaI2,4.69
BaTa2O7,9.19
BaTe2,5.481
Be4,5.102
BeH4O4P2,3.748
Bi2,3.563
Bi2Br2,5.91
Bi2Br2N2,6.469
Bi2Br2O2,6.174
Bi2Br2S2,6.275
Bi2Br2Se2,6.262
Bi2Br6,6.264
Bi2C6,4.484
Bi2Cd2Cl2O4,5.516
Bi2Cl2,6.2455
Bi2Cl2N2,6.809
Bi2Cl2O2,6.619
Bi2Cl2S2,6.523
Bi2Cl2Se2,6.49
Bi2Cl6,6.6645
Bi2Cr,4.202
Bi2Cu2S4,3.701
Bi2F2,6.723
Bi2F6,5.593
Bi2Fe2Br2S4,3.968
Bi2Ge3O9,4.288
Bi2Ge6,4.68
Bi2Hf,4.1555
Bi2I2,5.3495
Bi2I2N2,6.142
Bi2I2O2,5.495
Bi2I2S2,5.765
Bi2I2Se2,5.839
Bi2I6,5.614
Bi2In2,3.888
Bi2MnTe4,4.68
Bi2Mo,4.121
Bi2Nb,4.175
Bi2O2,3.843
Bi2O9Si3,3.853
Bi2OS2,6.211
Bi2OSe2,5.676
Bi2OTe2,4.804
Bi2P2S6,5.297
Bi2P2Se6,4.862
Bi2P2Te6,4.487
Bi2Pb6,4.344
Bi2Pd,3.577
Bi2S2,5.13425
Bi2S2Se,6.202
Bi2S2Te,5.891
Bi2S3,6.21
Bi2S4,4.55
Bi2SSe2,5.827
Bi2STe2,5.251
Bi2Se2,4.84125
Bi2Se2Te,5.698
Bi2Se3,5.833
Bi2SeTe2,5.299
Bi2Si6,4.506
Bi2Sn6,4.55
Bi2Ta,3.915
Bi2Te2,4.63475
Bi2Te3,5.291
Bi2Te4,4.548
Bi2Ti,4.269
Bi2V,4.27
Bi2W,3.8705
Bi2YO4,3.134
Bi2Zr,4.2915
Bi4B4O12,4.412
Bi4Cu4,3.796
Bi4Sr2O8,3.424
Bi6Ir2O4,4.446
Bi6Pt3,3.832
Bi8Rh4,3.747
BiBr2,5.7443333333333335
BiBrS,6.177
BiBrSe,5.991
BiBrTe,5.615
BiCl2,6.359333333333333
BiClS,6.401999999999999
BiClSe,6.171
BiClTe,5.692
BiCrAs,4.526999999999999
BiCrSb,4.5375
BiCuP2Se6,5.114
BiF2,7.288
BiH2O2,3.046
BiHO6Se2,5.241
BiHfAs,5.009
BiHfSb,4.406000000000001
BiI2,5.016666666666667
BiIS,5.7285
BiISe,5.6285
BiITe,5.3919999999999995
BiMoAs,4.575
BiMoSb,4.421
BiNbAs,4.6195
BiNbSb,4.4535
BiO,4.756
BiO2,6.521
BiS2,6.241333333333333
BiSe2,5.846666666666667
BiTaAs,4.5745000000000005
BiTaSb,4.231999999999999
BiTe2,5.168
BiTiAs,4.875
BiTiSb,4.532
BiVAs,4.6205
BiVSb,4.561
BiWAs,4.4045
BiWSb,4.196
BiZrAs,4.9905
BiZrSb,4.5495
Br2Ge,5.428
Br2Ge2,5.703
Br2Ge2N2,5.683
Br2Ge2O2,5.337
Br2Ge2S2,5.865
Br2Ge2Se2,5.899
Br2Sb,5.419999999999999
Br2Sb2,5.341
Br6Sb2,5.609
BrSSb,5.5985
BrSbSe,5.4185
BrSbTe,5.209
C2,4.248
C2F2,6.1
C2H2,3.0
C6N2,2.963
C6N8,4.302
C6P2,3.592
C6Sb2,4.442
CF2Si,6.585
CH2Si,3.489
CN,1.848
CP,3.803
Ca2Br2,2.602
Ca2Br2H2,4.732
Ca2C,2.388
Ca2C2F2O6,8.366
Ca2Cl2,3.05
Ca2Cl4H8O4,5.023
Ca2Cl4O8,3.523
Ca2CoO3,1.741
Ca2CuBr2O2,5.649
Ca2CuBr2S2,5.459
Ca2CuCl2O2,5.357
Ca2CuCl2S2,5.43
Ca2CuI2O2,5.835
Ca2CuI2S2,5.486
Ca2F2,2.92
Ca2Fe2Si2,2.61
Ca2I2,3.621
Ca2Mn2Ge2,2.75
Ca2Mn2Si2,2.858
Ca2Mn2Sn2,2.608
Ca2N,3.589
Ca2Sn4F12,4.032
Ca3Cu2Br2O4,5.854
Ca4As4,2.781
Ca4O12Te4,3.792
CaBr2,5.177333333333333
CaCl2,5.436333333333334
CaF2,5.266
CaF2O2,6.139
CaH2O2,3.072
CaH2S2,3.26
CaH4O4,3.197
CaI2,4.692333333333333
CaS2,6.906
CaSe2,6.01
CaTe2,5.082
Cd2Br2,5.495
Cd2Cl2,5.6665
Cd2F2,5.333500000000001
Cd2H4O8Se2,4.392
Cd2I2,5.2715
Cd2Mn3O8,4.235
Cd2P2S6,5.262
Cd2P2Se6,4.976
Cd2P2Te6,4.53
Cd2S2,5.023
Cd2S4,4.115
Cd2Se2,5.0255
Cd2Se4,4.356
Cd2Te2,4.947
Cd2Te4,4.111
Cd4Br4O4,6.99
Cd4I4O4,6.259
CdBr2,5.673666666666667
CdC4Cl2H4N2,5.242
CdCl2,6.216333333333334
CdClHO,4.871
CdF2,6.715
CdF2O2,6.84
CdGaInS4,5.2165
CdH2O2,3.336
CdH2S2,3.659
CdI2,4.952
CdO2,7.686
CdPb2Cl2O2,4.578
CdS2,5.1735
CdSe2,5.14
CdTe2,4.439
Cl2Ge,5.713333333333334
Cl2Ge2,5.194
Cl2Ge2N2,5.684
Cl2Ge2O2,5.556
Cl2Ge2S2,6.202
Cl2Ge2Se2,6.193
Cl2Sb,6.108666666666667
Cl2Sb2,5.708
ClSSb,5.867
ClSbSe,5.6555
ClSbTe,5.3945
Co2Br2,3.91
Co2Br2N2,5.726
Co2Br2O2,5.277
Co2Br2S2,5.688
Co2Br2Se2,5.678
Co2Br4O6Sb4,4.858
Co2Br6,5.8205
Co2Cl2,4.5489999999999995
Co2Cl2N2,6.301
Co2Cl2O2,5.785
Co2Cl2S2,6.211
Co2Cl2Se2,6.14
Co2Cl6,6.3495
Co2F2,6.268000000000001
Co2F2O4,7.337
Co2H2O4,4.491
Co2H2S4,5.081
Co2H4O8Se2,4.144
Co2I2,3.7115
Co2I2N2,4.541
Co2I2O2,4.49
Co2I2S2,5.038
Co2I2Se2,5.071
Co2I6,5.0965
Co2Li2As2,2.945
Co2Li2P2,2.702
Co2Li2Sb2,3.203
Co2Na2As2,2.29
Co2Na2P2,2.239
Co2Na2Sb2,2.075
Co2O2,5.814333333333334
Co2P2S6,4.758
Co2P2Se6,4.487
Co2P2Te6,4.3
Co2Pd2P2,4.032
Co2S2,4.957199999999999
Co2S4,5.46
Co2S6,5.577
Co2Se2,4.5378
Co2Se4,5.217
Co2Se6,5.213
Co2Te2,4.3294
Co2Te4,4.832
Co2Te6,4.568
Co4Br4O4,4.99
Co4S8,5.771
Co8Ta4Te8,4.026
CoBr2,5.646666666666667
CoC2N2S2,4.786
CoC4Cl2H4N2,4.263
CoC4H8N2O4,4.265
CoCl2,5.963666666666666
CoCl2O8,6.839
CoF2,5.642
CoH2,4.849
CoH2O2,1.63
CoHfBr6,5.471
CoHfF6,6.207
CoI2,5.016333333333333
CoLi2,3.997
CoO2,7.268000000000001
CoRe2O8,6.545
CoS2,5.491
CoSe2,4.925
CoTe2,4.538666666666667
CoZrBr6,5.376
Cr2BO2,6.586
Cr2BS2,5.425
Cr2BSe2,4.803
Cr2Br2,3.849
Cr2Br2N2,5.862
Cr2Br2O2,5.181
Cr2Br2S2,5.703
Cr2Br2Se2,5.743
Cr2Br4C16H16N8,4.659
Cr2Br6,5.583
Cr2C,4.717
Cr2C16Cl4H16N8,4.433
Cr2C16H16I4N8,4.924
Cr2CO2,6.418
Cr2CS2,5.461
Cr2Cl2,3.997
Cr2Cl2N2,6.465
Cr2Cl2O2,5.547
Cr2Cl2S2,6.051
Cr2Cl2Se2,6.051
Cr2Cl6,5.902
Cr2Cu2O8,7.135
Cr2Cu2P4S12,5.326
Cr2F2,5.5665
Cr2F2N,5.301
Cr2F4,4.389
Cr2Ge2Te6,4.633
Cr2H2NO2,1.941
Cr2I2,3.642
Cr2I2N2,4.913
Cr2I2S2,5.24
Cr2I2Se2,5.282
Cr2I6,5.009
Cr2Mo2S8,5.353
Cr2Mo2Se8,4.814
Cr2Mo2Te8,4.477
Cr2N,4.967
Cr2Nb2Se10,4.653
Cr2O2,5.3955
Cr2P2S6,4.451
Cr2P2Se6,4.56
Cr2P2Te6,4.328
Cr2S2,4.495
Cr2S4,5.2715
Cr2Se2,4.441
Cr2Se4,4.96
Cr2Si2Te6,4.569
Cr2Ta4O12,5.131
Cr2Te4,4.751
Cr2Te6,4.829
Cr2W2S8,5.246
Cr2W2Se8,4.706
Cr2W2Te8,4.391
Cr3C2,4.552
Cr3C2F2,6.228
Cr3C2H2O2,1.561
Cr3C2O2,6.633
Cr3MoS8,5.398
Cr3MoSe8,4.868
Cr3MoTe8,4.526
Cr3N2,4.872
Cr3N2O2,6.817
Cr3Te4,4.864
Cr3WS8,5.348
Cr3WSe8,4.818
Cr3WTe8,4.482
Cr4C3,4.444
Cr4C3F2,6.127
Cr4C3H2O2,1.564
Cr4C3O2,6.571
Cr4F2N3,5.185
Cr4H2N3O2,1.96
Cr4N3,4.072
Cr4N3O2,6.347
CrAs2,5.109
CrAsSb,5.0015
CrBr2,4.990333333333333
CrBrCl,4.9755
CrBrI,4.684
CrCl2,5.174666666666667
CrClI,4.76
CrF2,6.21
CrGa2S4,3.944
CrGa2Se4,3.986
CrH2,4.979
CrH2O2,2.13
CrHO2,4.061
CrI2,4.715333333333334
CrLi2,3.809
CrMo3S8,5.277
CrMo3Se8,4.747
CrMo3Te8,4.432
CrMoF6,5.559
CrNbF6,4.547
CrO2,6.809333333333334
CrS2,5.319
CrSSe,5.024
CrSTe,4.8115000000000006
CrSb2,4.8635
CrSe2,4.876333333333334
CrSeTe,4.648
CrTe2,4.850333333333333
CrW3S8,5.049
CrW3Se8,4.533
CrW3Te8,4.266
Cs2Br2,3.502
Cs2C2F6O6S2,4.073
Cs2C6N6Se6,4.585
Cs2Cl2,3.51
Cs2F2,3.101
Cs2F2H6O6P2,4.641
CsC2I3N2,3.631
CsF2,6.989
CsO2,5.943
Cu2As4Cl2S3,4.505
Cu2Br2,4.484999999999999
Cu2Br2C4H4N2,4.083
Cu2Br2N2,6.072
Cu2Br2O2,6.338
Cu2Br2S2,6.307
Cu2Br2S4,5.424
Cu2Br2Se2,6.273
Cu2Br2Se4,5.138
Cu2Br2Te4,4.728
Cu2Br6,6.486000000000001
Cu2C2Cl2O2,4.506
Cu2C2N4,5.253
Cu2C4H4O8,5.224
Cu2C6H8I2N2,3.908
Cu2Cl2,4.8155
Cu2Cl2N2,6.562
Cu2Cl2O2,6.968
Cu2Cl2S2,6.773
Cu2Cl2Se2,6.671
Cu2Cl2Se4,5.159
Cu2Cl2Te4,4.716
Cu2Cl6,7.232
Cu2F2,7.24
Cu2F4,7.325
Cu2Ge2O6,6.032
Cu2H4O10Se2,6.914
Cu2Hg2Cl2Se2,4.884
Cu2I2,3.6414999999999997
Cu2I2N2,5.819
Cu2I2O2,5.549
Cu2I2S2,5.644
Cu2I2S4,5.264
Cu2I2Se2,5.638
Cu2I2Se4,5.038
Cu2I2Te4,4.697
Cu2I4,5.586
Cu2I4O12,5.391
Cu2I6,5.6805
Cu2MoO4,5.067
Cu2MoSe4,4.757
Cu2MoTe4,4.396
Cu2O12Sb4,6.494
Cu2O2,5.5415
Cu2O4S,4.45
Cu2O6Si2,5.81
Cu2P2S6,5.712
Cu2P2Se6,5.269
Cu2P2Te6,4.77
Cu2PtC6N8,6.15
Cu2ReBr6,5.301
Cu2ReCl6,5.428
Cu2ReF6,4.857
Cu2ReI6,5.15
Cu2S,4.173
Cu2S2,5.173333333333333
Cu2S4,4.914
Cu2S4Sb2,4.028
Cu2Sb2Se4,4.16
Cu2Se2,5.3574
Cu2Se4,4.838
Cu2Sr2,2.913
Cu2Te2,4.6296
Cu2Te4,4.71
Cu2WO4,4.53
Cu2WS4,4.9
Cu2WSe4,4.561
Cu2WTe4,4.234
Cu3O4P,5.514
Cu4Cl4H4O4,6.52
Cu4Cl4O4,7.323
Cu4F4H4O4,5.334
Cu4Li2V2O12,6.956
Cu4O12Te2,7.696
Cu4O12Te4,5.039
CuBr,4.099
CuBr2,6.2843333333333335
CuC6H4N6O2,5.648
CuCl2,6.872
CuF2,6.235
CuH2,4.709
CuH2O2,2.725
CuI2,5.586333333333333
CuInP2Se6,4.794
CuLi2,3.674
CuLi2O2,2.569
CuO2,7.425333333333334
CuS2,5.2843333333333335
CuSe2,4.816333333333334
CuSr2Br2O2,5.764
CuSr2Br2S2,4.877
CuSr2Cl2O2,5.364
CuSr2Cl2S2,4.638
CuSr2I2O2,6.065
CuSr2I2S2,5.251
CuTe2,4.558
CuV2O6,7.454
F2Ge,4.578
F2Ge2,7.127
F2Sb,7.482
F2Sb2,7.857
F2Si2,6.179
Fe2Br2,4.157
Fe2Br2N2,5.617
Fe2Br2O2,4.979
Fe2Br6,5.858499999999999
Fe2Cl2,4.7490000000000006
Fe2Cl2O2,5.498
Fe2Cl6,6.451
Fe2F2,6.2415
Fe2F2O2,6.892
Fe2Ga2S5,4.319
Fe2H2O4,5.517
Fe2I2,3.5295
Fe2I2O2,5.283
Fe2I2S2,5.127
Fe2I6,5.220000000000001
Fe2In2Se5,4.391
Fe2Li2As2,2.868
Fe2Li2P2,2.823
Fe2Li2Sb2,4.009
Fe2Mg2Ge2,3.479
Fe2Mg2Si2,3.177
Fe2Mo2Cl2O8,7.223
Fe2Na2P2,2.334
Fe2O2,5.432499999999999
Fe2O4,7.135
Fe2P2S6,5.315
Fe2P2Se6,4.956
Fe2P2Te6,4.652
Fe2S2,4.9445
Fe2S4,5.392
Fe2Se2,4.636666666666667
Fe2Se4,4.8919999999999995
Fe2Sr2Ge2,2.745
Fe2Sr2Si2,2.708
Fe2Sr3Br2O5,5.048
Fe2Sr4Br2O6,4.918
Fe2Ta2Te6,4.698
Fe2Te2,4.4154
Fe2Te4,4.628500000000001
Fe2Te6,4.665
Fe2W2Cl2O8,7.166
Fe3GeTe2,4.149
Fe3S4,5.3015
Fe3Se4,5.06
Fe4S8,5.0
FeBr2,4.892666666666667
FeCl2,5.135333333333333
FeF2,6.316
FeGa2S4,4.041
FeH2,4.868
FeH2O2,1.986
FeHfBr6,4.705
FeHfCl6,4.998
FeHfF6,5.139
FeHfI6,4.458
FeI2,4.678
FeLi2,3.586
FeMn2C6N6,4.485
FeO2,7.046666666666667
FeS2,5.349
FeSe2,4.8886666666666665
FeSn2C6N6,3.582
FeTe2,4.465333333333334
FeZn2C6N6,3.966
FeZrBr6,4.815
FeZrCl6,5.106
FeZrF6,5.279
FeZrI6,4.578
Ga2Br2,3.923
Ga2Br2N2,6.496
Ga2Br2O2,5.525
Ga2Br2S2,5.678
Ga2Br2Se2,5.529
Ga2Br6,5.8895
Ga2Cl2,3.765
Ga2Cl2N2,6.712
Ga2Cl2O2,6.157
Ga2Cl2S2,5.73
Ga2Cl2Se2,5.574
Ga2Cl2Te2,5.494
Ga2Cl6,6.256
Ga2F4H10N4,2.894
Ga2Ge2Te2,4.596
Ga2H2O8Se2,4.5
Ga2I2,4.068
Ga2I2N2,5.782
Ga2I2O2,4.665
Ga2I2S2,5.449
Ga2I2Se2,5.476
Ga2I6,5.4265
Ga2In2S6,5.813
Ga2Mn2S5,4.071
Ga2MnS4,4.741
Ga2NiS4,4.357
Ga2O2,4.7475000000000005
Ga2P2,3.386
Ga2P2Se6,4.643
Ga2P2Te6,4.472
Ga2S2,4.697
Ga2S4,5.455
Ga2Se2,4.6739999999999995
Ga2Se4,5.103
Ga2Te2,4.3549999999999995
Ga2Te3,4.287
Ga2Te4,4.611
Ga2Y2I2,4.098
GaAs,4.907
GaBr2,5.3823333333333325
GaC,5.066
GaCl2,5.553666666666667
GaF2,4.944
GaH2O2,1.783
GaI2,5.132333333333333
GaN,4.381
GaNi5Br2,4.317
GaNi5Cl2,4.669
GaNi5I2,3.891
GaO2,8.228
GaP,4.553
GaPd5Br2,5.061
GaPd5Cl2,5.529
GaPd5I2,4.399
GaPt5Br2,4.489
GaPt5Cl2,5.318
GaPt5I2,3.865
GaS2,6.502
GaSe2,5.753
GaTe2,4.974
Ge2,4.464
Ge2H2,4.414
Ge2I2,5.245
Ge2I2N2,5.134
Ge2I2O2,5.079
Ge2I2S2,5.473
Ge2I2Se2,5.617
Ge2P2S6,5.065
Ge2P2Se6,4.806
Ge2P2Te6,4.5
Ge2S2,4.2265
Ge2S4,4.407
Ge2Se2,4.1665
Ge2Se4,4.261
Ge2Te2,4.1295
Ge2Te4,4.473
Ge3O9Sb2,4.561
Ge6N2,4.309
Ge6P2,4.421
Ge6Sb2,4.529
GeH2O2,2.387
GeI2,4.9635
GeO,5.492
GeO2,7.292999999999999
GeS,4.941
GeS2,5.692333333333333
GeSe,4.652
GeSe2,5.2860000000000005
GeTe,4.217
GeTe2,4.692666666666667
H2O2Sb,2.625
H2Si2,4.095
H4O10Si4,5.094
H4O12Te4,5.825
Hf2Br2,3.803
Hf2Br2N2,5.1655
Hf2Br2O2,3.967
Hf2Br2S2,4.664
Hf2Br2Se2,4.569
Hf2Br4,3.845
Hf2Br6,3.955
Hf2C,4.459
Hf2CF2,3.63
Hf2CH2O2,2.329
Hf2CO2,4.879
Hf2Cl2,4.122
Hf2Cl2N2,5.337999999999999
Hf2Cl2O2,4.187
Hf2Cl2S2,4.817
Hf2Cl2Se2,4.648
Hf2Cl4,4.046
Hf2Cl6,4.127
Hf2F2,4.473
Hf2F2N,3.314
Hf2Ge2Te8,4.243
Hf2H2NO2,2.654
Hf2I2,3.5084999999999997
Hf2I2N2,4.601
Hf2I2O2,3.575
Hf2I2S2,4.447
Hf2I2Se2,4.374
Hf2I4,3.7
Hf2I6,3.8064999999999998
Hf2N,4.551
Hf2NO2,4.608
Hf2O2,3.673
Hf2O6,6.012
Hf2P2S6,5.142
Hf2P2Se6,4.872
Hf2P2Te6,4.48
Hf2S2,4.3504000000000005
Hf2S6,5.404
Hf2Se2,4.293200000000001
Hf2Se6,5.025
Hf2Si2Te2,4.616
Hf2Te10,4.459
Hf2Te2,4.2623999999999995
Hf2Te6,4.818
Hf2Ti2S8,6.3
Hf2Ti2Se8,5.843
Hf2Ti2Te8,5.168
Hf2Zr2S8,6.306
Hf2Zr2Se8,5.855
Hf2Zr2Te8,5.228
Hf3C2,4.328
Hf3C2F2,2.944
Hf3C2H2O2,2.271
Hf3C2O2,5.601
Hf3F2N2,3.582
Hf3H2N2O2,2.769
Hf3N2,4.464
Hf3N2O2,4.357
Hf3Te2,4.031
Hf3TiS8,6.307
Hf3TiSe8,5.857
Hf3TiTe8,5.172
Hf3ZrS8,6.306
Hf3ZrSe8,5.852
Hf3ZrTe8,5.196
Hf4Br4O4,4.001
Hf4Br4S4,4.481
Hf4Br4Se4,4.465
Hf4C3,4.471
Hf4C3F2,3.198
Hf4C3H2O2,2.341
Hf4C3O2,5.3
Hf4Cl4O4,4.321
Hf4Cl4S4,4.786
Hf4Cl4Se4,4.735
Hf4F2N3,3.197
Hf4H2N3O2,2.712
Hf4I4O4,3.654
Hf4I4S4,4.122
Hf4I4Se4,4.136
Hf4N3,4.472
Hf4N3O2,4.579
HfAs2,5.261
HfAsSb,5.168
HfBr2,3.698333333333333
HfBrCl,3.5
HfBrI,3.1985
HfCl2,4.062666666666666
HfClI,3.3445
HfF2,5.833
HfH2,4.236
HfH2O2,2.952
HfI2,3.346
HfLi2,2.477
HfMnF6,5.009
