Formula,"Valence band effective mass, direction 1"
Cd4I4O4,-1.072
CdBr2,-3.5909999999999997
CdC4Cl2H4N2,-10.92
CdCl2,-4.917666666666666
CdClHO,-1.037
CdF2,-9.139
CdF2O2,-8.186
CdGaInS4,-0.771
CdH2O2,-1.401
CdH2S2,-23.229
CdI2,-2.699666666666667
CdO2,-8.888
CdPb2Cl2O2,-4.532
CdS2,-6.042
Cl2Ge,-4.996333333333333
Cl2Ge2N2,-0.874
Cl2Sb2,-0.073
ClSSb,-1.0225
ClSbSe,-1.003
ClSbTe,-0.7859999999999999
Co2Br2,-3.272
Co2Br4O6Sb4,-2.894
Co2Br6,-2.5495
Co2Cl2S2,-0.052
Co2Cl6,-3.4640000000000004
Co2F2O4,-3.414
Co2H2O4,-5.143
Co2H2S4,-10.658
Co2H4O8Se2,-18.471
Co2I2,-0.336
Co2I6,-1.7254999999999998
Co4Br4O4,-5.572
Co4S8,-1.609
CoBr2,-8.057
CoC4Cl2H4N2,-9.65
CoC4H8N2O4,-140.276
CoCl2,-97.02999999999999
CoCl2O8,-11.146
CoF2,-1.671
CoHfF6,-31.072
CoRe2O8,-4.345
CoZrBr6,-8.925
Cr2Br2O2,-3.545
Cr2Br2S2,-2.822
Cr2Br2Se2,-0.799
Cr2Br6,-12.589
Cr2Cl2O2,-3.247
Cr2Cl2S2,-2.717
Cr2Cl2Se2,-0.411
Cr2Cl6,-4.191
Cr2Cu2O8,-6.133
Cr2Cu2P4S12,-1.05
Cr2F4,-3.798
Cr2Ge2Te6,-0.161
Cr2I2S2,-2.462
Cr2I6,-0.617
Cr2Mo2S8,-0.751
Cr2Mo2Se8,-0.808
Cr2Mo2Te8,-0.791
Cr2P2Se6,-145.215
Cr2Si2Te6,-0.193
Cr2W2S8,-0.64
Cr2W2Se8,-0.673
Cr2W2Te8,-0.624
Cr3MoS8,-0.805
Cr3MoSe8,-0.88
Cr3MoTe8,-0.878
Cr3WS8,-0.751
Cr3WSe8,-0.807
Cr3WTe8,-0.763
CrClI,-6.436
CrHO2,-6.578
CrMo3S8,-0.625
CrMo3Se8,-0.683
CrMo3Te8,-0.695
CrMoF6,-8.559
CrO2,-1.442
CrS2,-0.884
CrSSe,-1.01
CrSTe,-450.289
CrSe2,-0.956
CrSeTe,-1.152
CrTe2,-0.893
CrW3S8,-0.486
CrW3Se8,-0.482
CrW3Te8,-0.444
Cs2Br2,-9.059
Cs2C2F6O6S2,-3.093
Cs2C6N6Se6,-6.289
Cs2Cl2,-1.733
Cs2F2,-1.215
Cs2F2H6O6P2,-62.676
CsC2I3N2,-1.217
Cu2As4Cl2S3,-3.832
