Formula,Area of unit-cell
B3C10N3,43.44
BC,6.232
BN,5.457
BP,8.956
BSb,12.002
Ba2Br2,39.941
Ba2Cl2,37.84
Ba2CuHgTlO5,14.228
Ba2H8O6,28.162
Ba2I2,41.77
Ba2Mg2Pb2,25.884
Ba2Mg2Sn2,24.46
Ba2Mn2Ge2,18.368
Ba2N,13.855
Ba4F4Sb4Se8,39.596
BaBr2,23.118
BaCl2,21.671999999999997
BaF12Sb2,24.31
BaF2,20.123
BaI2,25.328333333333333
BaTa2O7,16.108
BaTe2,14.534
Be4,8.175
BeH4O4P2,25.913
Bi2,16.288
Bi2Br2,22.9615
Bi2Br2N2,16.629
Bi2Br2O2,17.298
Bi2Br2S2,23.132
Bi2Br2Se2,24.742
Bi2Br6,49.596000000000004
Bi2C6,36.257
Bi2Cd2Cl2O4,32.411
Bi2Cl2,22.7795
Bi2Cl2N2,16.503
Bi2Cl2O2,17.011
Bi2Cl2S2,22.828
Bi2Cl2Se2,24.412
Bi2Cl6,46.0015
Bi2Cr,10.119
Bi2Cu2S4,24.473
Bi2F2,10.453
Bi2F6,33.897
Bi2Fe2Br2S4,32.462
Bi2Ge3O9,49.899
Bi2Ge6,69.087
Bi2Hf,9.817
Bi2I2,23.3125
Bi2I2N2,15.989
Bi2I2O2,17.829
Bi2I2S2,23.694
Bi2I2Se2,25.328
Bi2I6,54.8885
Bi2In2,22.082
Bi2MnTe4,16.284
Bi2Mo,9.987
Bi2Nb,9.9015
Bi2O2,14.0885
Bi2O9Si3,47.667
Bi2OS2,13.006
Bi2OSe2,13.62
Bi2OTe2,15.056
Bi2P2S6,42.086
Bi2P2Se6,44.988
Bi2P2Te6,51.427
Bi2Pb6,94.755
Bi2Pd,11.096
Bi2S2,17.70525
Bi2S2Se,14.575
Bi2S2Te,15.212
Bi2S3,14.211
Bi2S4,35.583
Bi2SSe2,14.786
Bi2STe2,15.902
Bi2Se2,20.817249999999998
Bi2Se2Te,15.779
Bi2Se3,15.157
Bi2SeTe2,16.278
Bi2Si6,63.698
Bi2Sn6,85.06
Bi2Ta,9.7635
Bi2Te2,23.180500000000002
Bi2Te3,16.961
Bi2Te4,38.824
Bi2Ti,9.671
Bi2V,9.7145
Bi2W,9.898
Bi2YO4,16.058
Bi2Zr,9.934000000000001
Bi4B4O12,41.951
Bi4Cu4,22.179
Bi4Sr2O8,28.56
Bi6Ir2O4,38.783
Bi6Pt3,38.138
Bi8Rh4,49.77
BiBr2,13.246666666666668
BiBrS,14.2165
BiBrSe,14.795000000000002
BiBrTe,15.8865
BiCl2,12.218333333333334
BiClS,13.9115
BiClSe,14.472000000000001
BiClTe,15.590499999999999
BiCrAs,9.661
BiCrSb,9.6285
BiCuP2Se6,38.216
BiF2,11.0
BiH2O2,14.616
BiHO6Se2,20.834
BiHfAs,11.400500000000001
BiHfSb,9.5415
BiI2,15.290999999999999
BiIS,14.846
BiISe,15.4
BiITe,16.457
BiMoAs,9.381499999999999
BiMoSb,9.6845
