Formula,Valence band maximum (HSE06)
CoCl2,-4.750500000000001
CoCl2O8,-6.448
CoZrBr6,-4.238
Cr2Br2S2,-3.245
Cr2Br2Se2,-2.646
Cr2Br6,-4.665
Cr2Cl2O2,-3.49
Cr2Cl2S2,-3.718
Cr2Cl2Se2,-2.887
Cr2Cl6,-5.272
Cr2I2S2,-2.018
Cr2I2Se2,-1.78
Cr2I6,-2.86
Cr2Mo2Te8,-0.071
Cr2P2Se6,-1.195
Cr2S4,-1.521
Cr2Se4,-0.604
Cr2W2S8,-1.284
Cr2W2Se8,-0.578
Cr2W2Te8,0.073
Cr3MoTe8,-0.085
Cr3WTe8,-0.014
CrMo3Se8,-0.738
CrMo3Te8,-0.074
CrO2,-3.849
CrS2,-1.464
CrSSe,-1.168
CrSTe,-0.501
CrSe2,-0.767
CrSeTe,-0.451
CrTe2,-0.105
CrW3Se8,-0.449
CrW3Te8,0.182
Cs2Br2,-5.145
Cs2C6N6Se6,-4.415
Cs2Cl2,-5.466
Cs2F2,-5.597
Cu2As4Cl2S3,-5.189
Cu2Br2,-3.94
Cu2Br2C4H4N2,-4.832
Cu2Br2S4,-4.843
Cu2Br2Se4,-4.432
Cu2Br2Te4,-3.708
Cu2Br6,-4.448
Cu2C2Cl2O2,-5.956
Cu2C6H8I2N2,-4.407
Cu2Cl2,-4.5024999999999995
Cu2Cl2Se4,-4.62
Cu2Cl2Te4,-3.777
Cu2Cl6,-5.65
Cu2F2,-5.937
Cu2F4,-8.832
Cu2Hg2Cl2Se2,-5.133
Cu2I2,-2.568
Cu2I2S4,-4.075
Cu2I2Se4,-3.872
Cu2I2Te4,-3.383
Cu2MoSe4,-3.217
Cu2MoTe4,-1.986
Cu2O2,-5.252
Cu2O4S,-5.956
Cu2S2,-4.397
Cu2S4Sb2,-3.117
Cu2Sb2Se4,-2.836
Cu2Se2,-3.683
Cu2WS4,-4.026
Cu2WSe4,-3.206
Cu2WTe4,-1.959
Cu4Cl4H4O4,-6.402
