Formula,"Valence band effective mass, direction 2"
Ag2Au2Cl8,-2.078
Ag2Br2,-1.0474999999999999
Ag2Br2S4,-1.21
Ag2Br2Se4,1.495
Ag2Br2Te4,-0.749
Ag2Br6,-0.997
Ag2Cl2,-1.8170000000000002
Ag2Cl2S4,-0.78
Ag2Cl2Se4,-1.153
Ag2Cl2Te4,-1.425
Ag2Cl6,-2.473
Ag2Cr2P4S12,-1.611
Ag2F2,-11.55
Ag2I2,-0.5885
Ag2I2S4,-0.937
Ag2I2Se4,-1.23
Ag2I2Te4,-0.657
Ag2MoO4,-1.719
Ag2MoS4,-0.89
Ag2MoSe4,-0.575
Ag2MoTe4,-1.04
Ag2O2,-0.682
Ag2P2Se6,-0.659
Ag2ReBr6,-1.381
Ag2ReCl6,-1.612
Ag2ReF6,-3.509
Ag2ReI6,-1.201
Ag2S2,-0.327
Ag2Se2,-0.922
Ag2Te2,-0.6
Ag2WO4,5.052
Ag2WS4,-0.883
Ag2WSe4,-0.612
Ag2WTe4,-1.216
Ag8C4N8,-0.225
AgBiP2Se6,-0.642
AgGaP2Se6,-0.376
AgInP2S6,-0.782
AgInP2Se6,-0.544
AgScP2S6,-0.7
AgScP2Se6,-0.614
AgSnF6,-1.579
AgVP2Se6,-1.633
Al2Br2O2,-0.494
Al2Br2S2,-0.272
Al2Br2Se2,-0.196
Al2Br6,-1.0030000000000001
Al2Cl2O2,-0.891
Al2Cl2S2,-0.257
Al2Cl2Se2,-0.181
Al2Cl6,-1.8515000000000001
Al2FeS4,-1.3
Al2I2O2,-0.27
Al2I2S2,-0.192
Al2I2Se2,-0.211
Al2I6,-0.503
Al2Mg2Se5,-0.372
Al2MgS4,-0.675
Al2MgSe4,-0.476
Al2O2,-0.395
Al2O4,-0.594
Al2P2S6,-0.309
Al2P2Se6,-0.215
Al2S2,-1.7485
Al2Se2,-1.9380000000000002
Al2Si2Te6,-0.187
Al2Te2,-2.1180000000000003
Al2Tl2F8,-0.197
Al8Te12,-0.329
AlAs,-0.726
AlLiP2S6,-1.322
AlN,-1.491
AlP,-0.829
AlSb,-0.657
As2,-0.13
As2Br6,-1.114
As2H2O10Te2,-4.601
As2I6,-0.835
As2O6Sb2,14.155
As2O8P2,-5.654
As2O8Sb2,-0.335
As4,-0.097
As4Ge4Se4,-1.234
As4H2O12P2,-1.468
As4O12S2,10.87
As4O6,87.00600000000001
As4O8,152.666
As4S6,-0.867
As4Se6,-0.589
As8Ge4,-0.429
As8Si4,1.838
AsB,-0.153
AsBrS,-0.48
AsBrSe,-0.3935
AsBrTe,-0.47450000000000003
AsClS,-0.594
AsClSe,-0.5565
AsClTe,-0.665
AsIS,-0.258
AsISe,-0.2385
AsITe,-0.22999999999999998
Au2Br2,-2.1750000000000003
Au2Br2Se4,-0.553
Au2Br2Te4,-0.923
Au2Br6,-1.109
Au2CaF12,-8.353
Au2Cl2,34.393
Au2Cl2Te4,-0.907
Au2Cl6,-1.555
Au2I2,-0.46599999999999997
Au2I2Se4,-0.818
Au2I2Te4,-0.743
Au2I6,-1.074
Au2MoO4,-1.337
Au2MoS4,8.984
Au2MoSe4,-0.386
Au2MoTe4,-0.376
Au2O2,-0.321
Au2ReF6,-1.36
Au2S2,-0.252
Au2Se2,-0.572
Au2Te2,-0.5695
Au2WO4,-1.503
Au2WS4,-0.442
Au2WSe4,-0.397
Au2WTe4,-0.377
Au4I4Te4,-1.325
B3C10N3,-0.159
BN,-0.642
BP,-0.179
BSb,-0.079
Ba2H8O6,-1.518
Ba4F4Sb4Se8,-0.603
BaBr2,-7.342
BaCl2,-5.592666666666666
BaF12Sb2,-5.881
BaF2,-2.931
BaI2,-2.9083333333333337
BeH4O4P2,-2.563
Bi2,-0.278
Bi2Br2,-0.347
Bi2Br2O2,-0.84
Bi2Br2S2,-0.565
Bi2Br2Se2,-0.563
Bi2Br6,-5.1785
Bi2Cd2Cl2O4,-3.06
Bi2Cl2,-0.402
Bi2Cl2O2,-1.204
Bi2Cl2S2,-0.683
Bi2Cl2Se2,-0.693
Bi2Cl6,-3.4924999999999997
Bi2Cu2S4,1.434
Bi2F6,-2.438
Bi2Ge3O9,-9.103
Bi2I2,-0.627
Bi2I2O2,-0.741
Bi2I2S2,-0.439
Bi2I2Se2,-0.181
Bi2I6,-1.004
Bi2In2,-0.509
Bi2MnTe4,-0.198
Bi2O2,-1.481
Bi2O9Si3,-2.274
Bi2OS2,-0.4
Bi2OSe2,-0.356
Bi2OTe2,-0.071
Bi2P2S6,-0.637
Bi2P2Se6,-0.221
Bi2P2Te6,-0.138
Bi2S2,-0.275
Bi2S2Se,-0.903
Bi2S2Te,-0.03
Bi2S3,-0.859
Bi2SSe2,-0.687
Bi2STe2,-0.163
Bi2Se2,-0.363
Bi2Se2Te,-0.054
Bi2Se3,-0.703
Bi2SeTe2,-0.15
Bi2Te2,-0.349
Bi2Te3,-0.525
Bi4B4O12,-0.792
Bi4Sr2O8,-2.01
Bi8Rh4,0.16
BiBrS,-0.793
BiBrSe,-0.6745
BiBrTe,-0.335
BiClS,-1.0635
BiClSe,-0.7935
BiClTe,-0.23049999999999998
BiCrAs,-0.058
BiCuP2Se6,-0.595
BiHO6Se2,-2.45
BiIS,-0.2895
BiISe,-0.3755
BiITe,-0.3645
Br2Ge,-1.3739999999999999
Br2Ge2N2,-0.436
Br2Sb2,-0.072
Br6Sb2,-4.383
BrSSb,-0.567
BrSbSe,-0.5395
BrSbTe,-0.581
C2,-0.014
C2F2,-0.596
C2H2,-0.386
C6N2,-0.119
C6N8,-2.229
CF2Si,-0.52
CH2Si,-0.404
Ca2Br2H2,-2.559
Ca2C2F2O6,-1.167
Ca2Cl4H8O4,-4.414
Ca2Cl4O8,-3.663
Ca2I2,-0.602
Ca2Sn4F12,-1.356
Ca4As4,68.343
Ca4O12Te4,-1.851
CaBr2,-1.7266666666666666
CaCl2,-13.482999999999999
CaF2,-10.074
CaF2O2,-1.951
CaH2O2,-1.289
CaH2S2,-0.701
CaI2,9.445333333333334
Cd2H4O8Se2,-2.031
Cd2Mn3O8,-1.804
Cd2P2S6,-0.655
Cd2P2Se6,-0.526
Cd2P2Te6,-0.189
Cd2S2,-0.287
Cd2S4,-0.57
Cd2Se2,-0.257
Cd2Se4,-0.695
Cd2Te2,-0.1635
Cd2Te4,-0.254
Cd4I4O4,-0.452
CdBr2,-0.9413333333333332
CdC4Cl2H4N2,-0.557
CdCl2,-3.0903333333333336
CdClHO,-1.03
CdF2,-2.664
CdF2O2,-0.839
CdGaInS4,-0.77
CdH2O2,-1.255
CdH2S2,-0.408
CdI2,-0.5946666666666667
CdO2,-3.298
CdPb2Cl2O2,-1.391
CdS2,-0.295
Cl2Ge,-1.656
Cl2Ge2N2,-0.341
Cl2Sb2,-0.073
ClSSb,-0.8054999999999999
ClSbSe,-0.72
ClSbTe,-0.6595
Co2Br2,-0.16
Co2Br4O6Sb4,-1.51
Co2Br6,50.346999999999994
Co2Cl2S2,7.734
Co2Cl6,-1.2075
Co2F2O4,-2.249
Co2H2O4,-0.253
Co2H2S4,-2.98
Co2H4O8Se2,-5.845
Co2I2,-0.041
Co2I6,-0.39499999999999996
Co4Br4O4,-0.862
Co4S8,-0.897
CoBr2,-6.8375
CoC4Cl2H4N2,-0.696
CoC4H8N2O4,-1.807
CoCl2,-4.388
CoCl2O8,-4.197
CoF2,-1.654
CoHfF6,-23.496
CoRe2O8,-3.526
CoZrBr6,-8.438
Cr2Br2O2,-0.327
Cr2Br2S2,-0.244
Cr2Br2Se2,-0.054
Cr2Br6,-2.55
Cr2Cl2O2,-0.347
Cr2Cl2S2,-0.21
Cr2Cl2Se2,-0.073
Cr2Cl6,-2.08
Cr2Cu2O8,-0.819
Cr2Cu2P4S12,-0.995
Cr2F4,-2.516
Cr2Ge2Te6,-0.158
Cr2I2S2,-0.39
Cr2I6,-0.617
Cr2Mo2S8,-0.72
Cr2Mo2Se8,-0.783
Cr2Mo2Te8,-0.79
Cr2P2Se6,-0.529
Cr2Si2Te6,-0.193
Cr2W2S8,-0.635
Cr2W2Se8,-0.67
Cr2W2Te8,-0.585
Cr3MoS8,-0.803
Cr3MoSe8,-0.859
Cr3MoTe8,-0.782
Cr3WS8,-0.745
Cr3WSe8,-0.787
Cr3WTe8,-0.697
CrClI,-0.864
CrHO2,-1.816
CrMo3S8,-0.621
CrMo3Se8,-0.676
CrMo3Te8,-0.655
CrMoF6,-3.655
CrO2,-1.435
CrS2,-0.883
CrSSe,-1.009
CrSTe,-5.244
CrSe2,-0.955
CrSeTe,-1.151
CrTe2,-0.891
CrW3S8,-0.484
CrW3Se8,-0.479
CrW3Te8,-0.404
Cs2Br2,-9.059
Cs2C2F6O6S2,-2.764
Cs2C6N6Se6,-1.424
Cs2Cl2,-1.733
Cs2F2,-1.215
Cs2F2H6O6P2,-9.383
CsC2I3N2,-0.673
Cu2As4Cl2S3,-1.126
Cu2Br2,-2.0525
Cu2Br2C4H4N2,-0.893
Cu2Br2S4,-1.405
Cu2Br2Se4,-0.808
Cu2Br2Te4,-0.61
Cu2Br6,-0.97
Cu2C2Cl2O2,1.821
Cu2C4H4O8,-0.937
Cu2C6H8I2N2,-1.147
Cu2Cl2,-2.9589999999999996
Cu2Cl2Se4,-1.01
Cu2Cl2Te4,1.298
Cu2Cl6,-1.705
Cu2F2,-0.114
Cu2F4,-1.535
Cu2Ge2O6,-0.8
Cu2H4O10Se2,-1.126
Cu2Hg2Cl2Se2,-0.263
Cu2I2,-0.521
Cu2I2S4,-0.766
Cu2I2Se4,-0.682
Cu2I2Te4,-0.446
Cu2I4O12,-2.019
Cu2MoO4,-2.188
Cu2MoSe4,-0.562
Cu2MoTe4,-9.687
Cu2O2,-0.628
Cu2O4S,-1.729
Cu2O6Si2,-1.108
Cu2ReBr6,-0.762
Cu2ReCl6,-1.734
Cu2ReF6,-4.521
Cu2ReI6,-0.466
Cu2S2,-1.06
Cu2S4Sb2,-0.701
Cu2Sb2Se4,-0.627
Cu2Se2,-0.413
Cu2WO4,-2.32
Cu2WS4,-0.709
Cu2WSe4,-0.659
Cu2WTe4,6.555
Cu3O4P,1.613
Cu4Cl4H4O4,-4.793
Cu4Cl4O4,-0.838
Cu4F4H4O4,-4.745
Cu4O12Te2,-1.162
CuBr,-0.381
CuC6H4N6O2,-2.315
CuInP2Se6,-0.506
CuLi2O2,-0.614
CuV2O6,-2.965
F2Ge,-0.642
F2Ge2,13.445
F2Si2,-0.195
Fe2Br6,-0.793
Fe2Cl6,-1.0705
Fe2I2,-0.048
Fe2P2Te6,-1.354
Fe2S4,-1.6
Fe2Se4,-1.223
Fe2Te4,-0.939
FeBr2,-1.6715
