Formula,"Conduction band effective mass, direction 2"
Ag2Au2Cl8,3.998
Ag2Br2,0.473
Ag2Br2S4,2.769
Ag2Br2Se4,1.946
Ag2Br2Te4,4.563
Ag2Br6,13.905
Ag2Cl2,0.46099999999999997
Ag2Cl2S4,4.376
Ag2Cl2Se4,1.623
Ag2Cl2Te4,8.805
Ag2Cl6,7.518
Ag2Cr2P4S12,1.783
Ag2F2,1.0695
Ag2I2,0.372
Ag2I2S4,2.87
Ag2I2Se4,1.602
Ag2I2Te4,2.212
Ag2MoO4,1.805
Ag2MoS4,5.501
Ag2MoSe4,3.159
Ag2MoTe4,2.192
Ag2O2,1.031
Ag2P2Se6,6.376
Ag2ReBr6,0.548
Ag2ReCl6,0.977
Ag2ReF6,0.696
Ag2ReI6,0.681
Ag2S2,2.391
Ag2Se2,2.323
Ag2Te2,2.398
Ag2WO4,1.652
Ag2WS4,9.474
Ag2WSe4,20.072
Ag2WTe4,6.185
Ag8C4N8,3.553
AgBiP2Se6,1.782
AgGaP2Se6,0.303
AgInP2S6,0.35
AgInP2Se6,0.329
AgScP2S6,10.048
AgScP2Se6,202.44
AgSnF6,21.19
AgVP2Se6,5.494
Al2Br2O2,0.49
Al2Br2S2,0.889
Al2Br2Se2,0.97
Al2Br6,1.591
Al2Cl2O2,0.525
Al2Cl2S2,1.122
Al2Cl2Se2,0.949
Al2Cl6,1.48
Al2FeS4,1.881
Al2I2O2,0.511
Al2I2S2,0.673
Al2I2Se2,0.76
Al2I6,-0.897
Al2Mg2Se5,0.168
Al2MgS4,0.233
Al2MgSe4,0.172
Al2O2,1.138
Al2O4,0.854
Al2P2S6,0.509
Al2P2Se6,0.987
Al2S2,0.8945
Al2Se2,1.4340000000000002
Al2Si2Te6,0.533
Al2Te2,1.8239999999999998
Al2Tl2F8,0.701
Al8Te12,0.767
AlAs,0.118
AlLiP2S6,0.38
AlN,0.489
AlP,0.193
AlSb,-1.265
As2,0.502
As2Br6,0.609
As2H2O10Te2,1.466
As2I6,0.638
As2O6Sb2,6.221
As2O8P2,4.229
As2O8Sb2,1.531
As4,1.199
As4Ge4Se4,1.425
As4H2O12P2,6.305
As4O12S2,4.482
As4O6,78.65766666666667
As4O8,1.155
As4S6,1.706
As4Se6,2.269
As8Ge4,0.554
As8Si4,0.968
AsB,0.158
AsBrS,4.1785
AsBrSe,0.905
AsBrTe,0.648
AsClS,-0.6655
AsClSe,0.792
AsClTe,0.43
AsIS,0.2415
AsISe,8.923
AsITe,2.6565000000000003
Au2Br2,1.1233333333333333
Au2Br2Se4,3.271
Au2Br2Te4,2.003
Au2Br6,12.749
Au2CaF12,1.604
Au2Cl2,70.543
Au2Cl2Te4,1.598
Au2Cl6,5.679
Au2I2,0.41300000000000003
Au2I2Se4,1.013
Au2I2Te4,1.102
Au2I6,3.637
Au2MoO4,3.265
Au2MoS4,4.446
Au2MoSe4,3.882
Au2MoTe4,2.531
Au2O2,1.662
Au2ReF6,7.903
Au2S2,2.423
Au2Se2,1.714
Au2Te2,1.625
Au2WO4,5.378
Au2WS4,2.044
Au2WSe4,5.21
Au2WTe4,1.921
Au4I4Te4,0.994
B3C10N3,2.817
BN,0.934
BP,0.19
BSb,0.074
Ba2H8O6,0.769
Ba4F4Sb4Se8,1.084
BaBr2,3.076
BaCl2,7.929666666666667
BaF12Sb2,0.95
BaF2,0.719
BaI2,1.3063333333333333
BeH4O4P2,31.827
Bi2,0.728
Bi2Br2,0.389
Bi2Br2O2,0.786
Bi2Br2S2,4.014
Bi2Br2Se2,0.438
Bi2Br6,0.944
Bi2Cd2Cl2O4,2.836
Bi2Cl2,0.277
Bi2Cl2O2,0.65
Bi2Cl2S2,0.239
Bi2Cl2Se2,1.188
Bi2Cl6,0.8815
Bi2Cu2S4,0.76
Bi2F6,5.633
Bi2Ge3O9,0.561
