Formula,"Conduction band effective mass, direction 1"
Y2Cl6,1.5425
Y2F2,-6.218
Y2I6,1.3904999999999998
Y3N2O2,0.899
YBr2,0.627
YCl2,0.793
YI2,0.46
Zn2As4O8,0.46
Zn2Ge2O6,0.299
Zn2H4O8Se2,0.923
Zn2H8N4Te2,0.565
Zn2I2,0.233
Zn2O6Si2,0.521
Zn2P2S6,0.254
Zn2P2Se6,0.156
Zn2P2Te6,0.453
Zn2S2,0.201
Zn2S4,0.388
Zn2Se2,0.188
Zn2Se4,0.717
Zn2Te2,0.09
Zn2Te4,0.569
Zn4Cl4O4,0.991
ZnBr2,0.6843333333333333
ZnC4N6,0.76
ZnCl2,0.465
ZnF2,0.634
ZnH2O2,0.519
ZnI2,0.34
Zr2Br2,0.141
Zr2Br2N2,0.4425
Zr2Br4,0.344
Zr2CO2,0.309
Zr2Cl2,0.073
Zr2Cl2N2,0.45499999999999996
Zr2Cl4,0.238
Zr2Ge2Te8,0.268
Zr2I2N2,0.445
Zr2I4,0.368
Zr2O6,0.852
Zr2P2S6,0.804
Zr2P2Se6,0.741
Zr2S2,0.016
Zr2S6,0.351
Zr2Se2,0.205
Zr2Se6,0.139
Zr2Te10,0.027
Zr2Te2,0.12833333333333333
Zr3C2F2S2,0.466
Zr3C2O2,-0.94
Zr3F2N2O2,1.397
Zr3N2O2,0.528
ZrBr2,0.67
ZrBrCl,0.705
ZrBrI,0.669
ZrCl2,0.754
ZrClI,0.722
ZrH2O6P2,0.802
ZrI2,0.63
ZrO2,-10.238
ZrS2,0.5843333333333333
ZrSSe,0.713
ZrSTe,1.284
ZrSe2,0.5203333333333333
ZrSeTe,0.39
ZrTe2,0.41
