Formula,"Conduction band effective mass, direction 1"
ClSbSe,-0.068
ClSbTe,0.40800000000000003
Co2Br2,0.145
Co2Br4O6Sb4,2.859
Co2Br6,-4.996500000000001
Co2Cl2S2,0.059
Co2Cl6,5.6665
Co2F2O4,0.383
Co2H2O4,0.231
Co2H2S4,0.352
Co2H4O8Se2,3.222
Co2I2,0.051
Co2I6,13.072500000000002
Co4Br4O4,0.608
Co4S8,1.714
CoBr2,2.1325000000000003
CoC4Cl2H4N2,0.318
CoC4H8N2O4,4.584
CoCl2,1.866
CoCl2O8,6.067
CoF2,1.19
CoHfF6,40.659
CoRe2O8,4.293
CoZrBr6,5.037
Cr2Br2O2,0.697
Cr2Br2S2,0.218
Cr2Br2Se2,0.177
Cr2Br6,8.612
Cr2Cl2O2,0.643
Cr2Cl2S2,0.188
Cr2Cl2Se2,0.145
Cr2Cl6,3.39
Cr2Cu2O8,4.591
Cr2Cu2P4S12,2.298
Cr2F4,8.022
Cr2Ge2Te6,0.639
Cr2I2S2,0.282
Cr2I6,-10.457
Cr2Mo2S8,0.934
Cr2Mo2Se8,0.906
Cr2Mo2Te8,0.732
Cr2P2Se6,0.645
Cr2Si2Te6,0.585
Cr2W2S8,0.948
Cr2W2Se8,0.814
Cr2W2Te8,0.75
Cr3MoS8,0.764
Cr3MoSe8,0.803
Cr3MoTe8,0.692
Cr3WS8,0.74
Cr3WSe8,0.771
Cr3WTe8,0.647
CrClI,1.405
CrHO2,0.986
CrMo3S8,0.605
CrMo3Se8,0.646
CrMo3Te8,0.558
CrMoF6,0.542
CrO2,0.871
CrS2,0.872
CrSSe,0.938
CrSTe,1.104
CrSe2,0.937
CrSeTe,0.99
CrTe2,0.85
CrW3S8,0.539
CrW3Se8,0.526
CrW3Te8,0.369
Cs2Br2,0.598
Cs2C2F6O6S2,0.82
Cs2C6N6Se6,0.404
Cs2Cl2,0.698
Cs2F2,0.841
Cs2F2H6O6P2,0.634
CsC2I3N2,-25.351
Cu2As4Cl2S3,4.69
Cu2Br2,0.4095
Cu2Br2C4H4N2,4.294
Cu2Br2S4,1.049
Cu2Br2Se4,0.965
Cu2Br2Te4,1.01
Cu2Br6,11.748
Cu2C2Cl2O2,1.387
Cu2C4H4O8,1.257
Cu2C6H8I2N2,3.082
Cu2Cl2,0.5125
Cu2Cl2Se4,1.035
Cu2Cl2Te4,1.155
Cu2Cl6,14.888
Cu2F2,-11.892
Cu2F4,5.65
Cu2Ge2O6,4.296
Cu2H4O10Se2,1.468
Cu2Hg2Cl2Se2,0.265
Cu2I2,0.3055
Cu2I2S4,-2.777
Cu2I2Se4,0.745
Cu2I2Te4,0.807
Cu2I4O12,1.517
Cu2MoO4,2.801
Cu2MoSe4,5.372
Cu2MoTe4,1.217
Cu2O2,0.652
Cu2O4S,0.706
Cu2O6Si2,3.022
Cu2ReBr6,0.57
Cu2ReCl6,1.05
Cu2ReF6,0.863
Cu2ReI6,0.629
Cu2S2,0.407
Cu2S4Sb2,0.562
Cu2Sb2Se4,1.623
Cu2Se2,0.313
Cu2WO4,2.331
Cu2WS4,1.404
Cu2WSe4,-0.897
Cu2WTe4,0.917
Cu3O4P,0.525
Cu4Cl4H4O4,7.497
Cu4Cl4O4,1.282
Cu4F4H4O4,3.456
Cu4O12Te2,0.727
CuBr,0.178
CuC6H4N6O2,3.146
CuInP2Se6,0.328
CuLi2O2,1.154
CuV2O6,4.627
F2Ge,1.429
F2Ge2,0.023
F2Si2,0.176
Fe2Br6,1.4929999999999999
Fe2Cl6,1.6395
Fe2I2,1.053
Fe2P2Te6,0.328
Fe2S4,2.01
Fe2Se4,1.674
Fe2Te4,1.212
FeBr2,0.765
FeCl2,0.8175
FeF2,4.524
FeGa2S4,0.68
FeHfBr6,5.289
FeHfCl6,14.181
FeHfF6,18.98
FeHfI6,2.464
FeI2,1.28
FeSn2C6N6,3.542
FeZn2C6N6,34.574
FeZrBr6,2.91
FeZrCl6,7.643
FeZrF6,15.417
FeZrI6,-6.807
Ga2Br2,0.643
Ga2Br2O2,0.293
Ga2Br2S2,0.508
Ga2Br2Se2,0.45
Ga2Br6,1.0935000000000001
Ga2Cl2,0.611
Ga2Cl2O2,0.365
Ga2Cl2S2,0.54
Ga2Cl2Se2,0.471
Ga2Cl2Te2,0.2
Ga2Cl6,1.4
Ga2F4H10N4,0.611
Ga2Ge2Te2,0.053
Ga2H2O8Se2,2.339
Ga2I2,1.847
Ga2I2O2,0.251
Ga2I2S2,0.211
Ga2I2Se2,0.43
Ga2I6,2.3665
Ga2In2S6,0.294
Ga2NiS4,1.281
Ga2O2,0.318
Ga2P2Te6,1.562
Ga2S2,0.211
Ga2Se2,0.23399999999999999
Ga2Te2,0.1925
GaAs,0.12
GaN,0.205
GaP,0.109
Ge2,0.025
Ge2H2,0.051
Ge2P2S6,0.415
Ge2P2Se6,0.179
Ge2P2Te6,0.341
Ge2S2,0.218
Ge2S4,0.188
Ge2Se2,0.11750000000000001
Ge2Te2,0.056
Ge2Te4,-0.132
Ge3O9Sb2,2.318
GeH2O2,0.523
GeI2,0.3495
GeO,0.483
GeO2,0.3543333333333334
GeS,0.253
GeS2,0.2815
GeSe,0.341
GeSe2,0.835
GeTe,0.199
H2Si2,0.12
H4O10Si4,0.621
H4O12Te4,1.808
Hf2Br2N2,0.48350000000000004
Hf2Br4,0.216
Hf2CO2,0.248
Hf2Cl2N2,0.48
Hf2Cl4,0.198
Hf2Ge2Te8,0.3
Hf2I2N2,0.493
Hf2I4,0.402
Hf2O6,0.559
Hf2P2S6,0.665
Hf2P2Se6,0.584
Hf2S2,0.031
Hf2S6,0.271
Hf2Se2,0.074
Hf2Se6,0.134
Hf2Te10,0.026
Hf2Te2,0.431
Hf2Ti2S8,0.869
Hf2Ti2Se8,0.574
Hf2Ti2Te8,0.467
Hf2Zr2S8,0.947
Hf2Zr2Se8,0.514
Hf2Zr2Te8,0.308
Hf3C2O2,0.141
Hf3N2O2,0.501
Hf3TiS8,0.96
Hf3TiSe8,1.076
Hf3TiTe8,0.252
Hf3ZrS8,0.853
Hf3ZrSe8,0.493
Hf3ZrTe8,0.289
HfBr2,0.571
HfBrCl,0.625
HfBrI,0.562
HfCl2,0.615
HfClI,0.721
HfH2O2,1.209
HfI2,0.485
HfMnF6,21.583
HfMnI6,0.742
HfNa2H6O6,0.727
HfNiBr6,11.726
HfNiCl6,10.192
HfNiI6,1.896
HfO2,0.9826666666666667
HfS2,0.5453333333333333
HfSSe,0.4065
HfSTe,0.223
HfSe2,0.40399999999999997
HfSeTe,0.205
HfTe2,0.6565
HfTi3S8,1.278
HfTi3Se8,0.544
HfTi3Te8,0.174
HfZr3S8,1.127
HfZr3Se8,0.645
HfZr3Te8,0.21
Hg2Br2,0.25
Hg2Cl2,0.1
Hg2GeO4,0.641
Hg2I2,0.269
Hg2O4,0.506
Hg2P2S6,0.257
Hg2P2Se6,0.176
Hg2P2Te6,0.16
Hg2Pt4Se6,0.146
Hg2Se2,0.014
Hg2Te2,-2.177
Hg2V2O6,1.175
Hg3B2O6,0.881
Hg4I8,0.453
Hg4Mo2O8,0.305
Hg4W2O8,0.347
HgBr2,-0.7156666666666668
HgCl2,0.5650000000000001
HgF2,2.697
HgH2O2,0.336
HgH2S2,0.492
HgI2,0.4676666666666667
HgO,1.646
HgO2,1.035
HgS,0.023
HgSe,0.023
HgSe2,0.099
HgTe,0.032
I2Sb,0.902
I2Sb2,0.2425
I6Sb2,0.701
ISSb,-4.616
ISbSe,1.758
ISbTe,-8.436
In2Br2,0.4615
In2Br2O2,0.315
In2Br2S2,0.33
In2Br2Se2,0.275
In2Br6,0.6154999999999999
In2Cl2,0.46
In2Cl2O2,0.355
In2Cl2S2,0.372
In2Cl2Se2,0.307
In2Cl6,0.6385000000000001
In2F2,0.235
In2I2,0.6759999999999999
In2I2O2,0.309
In2I2S2,0.278
In2I2Se2,0.508
In2I6,1.065
In2O2,0.302
In2P2S6,0.483
In2S2,0.236
In2S4,0.256
In2Se2,0.18599999999999997
In2Se3,0.146
In2Si2Te6,0.315
In2Te2,0.1345
In2Te4,0.182
In2Te5,0.183
In2ZnS4,-0.535
In4Br4Te4,1.1
In4Br8,0.623
In4I4Te4,1.276
InAs,0.086
InLiI4O12,0.884
InN,0.078
InNaI4O12,1.734
InP,0.101
InSb,0.34
Ir2Br2O2,0.842
Ir2Br2S2,-0.916
Ir2Br2Se2,0.242
Ir2Br6,1.1605
Ir2Cl2O2,0.868
Ir2Cl2S2,0.223
Ir2Cl2Se2,0.034
Ir2Cl6,10.4235
Ir2I2S2,0.124
Ir2I6,1.5975
Ir2Nb2Te8,0.067
Ir2O2,0.239
Ir2P2S6,-4.409
Ir2P2Se6,0.306
Ir2P2Te6,0.176
Ir2S2,0.07350000000000001
Ir2Se2,0.4776666666666667
Ir2Ta2Te8,0.237
Ir4S8,0.731
Ir4Se8,0.65
Ir4Te8,1.136
K2Br2,0.576
K2C2H2O6,0.883
K2C2O6,8.777
K2C4,0.603
K2C4H6O6,0.953
K2C6H6O6,2.938
K2Cl2,0.679
K2Cl2O6,1.207
K2F2,0.859
K2I2,0.512
K2N2O6,1.958
K2Os2F10N2O2,3.252
Li2Cl2O4,2.23
Li2F2O2,6.336
Li2F2S2,5.787
Li2H2O2,0.862
Li2H2S2,0.696
Li2H4N2,0.645
Li2H4N2O6,2.393
Li2PtH6O6,2.017
Li2V4O10,1.175
Li4O8Sb4,0.548
Li6H2O8Te2,1.562
LiC5H5N2O5,1.557
Mg2Cl4,0.371
Mg2Mo2O12Te2,-44.946
Mg2P2S6,0.43
Mg2P2Se6,0.388
MgB2H8,0.432
MgBr2,0.3185
MgCl2,0.43933333333333335
MgF2O2,2.202
MgF2S2,0.91
MgH2O2,0.72
MgH2S2,0.531
MgI2,0.40249999999999997
MgNa2H4O8S2,1.314
Mn2Br2S4Sb2,0.218
Mn2Br2Sb2Se4,1.572
Mn2Br6,0.613
Mn2Cl2N2,0.318
Mn2Cl2S4Sb2,1.878
Mn2Cl6,1.0245000000000002
Mn2H4O8S2,4.235
Mn2I2Sb2Se4,0.207
Mn2I6,0.914
Mn2P2S6,0.624
Mn2P2Se6,0.101
MnBr2,1.324
MnCl2,1.4273333333333333
MnF12Sb2,0.791
MnH2O2,0.615
MnI2,1.226
MnNa2F3O7P2,2.858
MnO2,0.859
MnRe2O8,1.116
MnZrBr6,1.212
MnZrCl6,3.137
MnZrF6,22.691
MnZrI6,0.756
Mo2Br4O4,0.519
Mo2Cl6,1.3375
Mo2I6,1.646
Mo2O10P2,5.732
Mo2O6,0.636
Mo2S4,0.0485
Mo2Se4,0.275
Mo2Ta2O11,0.586
Mo2W2S8,0.43
Mo2W2Se8,0.479
Mo2W2Te8,0.487
Mo2Zn2O12Te2,-22.143
Mo2Zn2O8,1.312
Mo2ZrO8,0.65
Mo3WS8,0.4
Mo3WSe8,0.449
Mo3WTe8,0.419
MoO2,0.419
MoOS,0.648
MoOSe,0.887
MoOTe,1.9
MoS2,0.427
MoSSe,0.486
MoSTe,0.46
MoSe2,0.492
MoSeTe,0.37349999999999994
