Formula,Thermodynamic stability level
In2Cl6,3.0
In2F2,3.0
In2I2,3.0
In2I2N2,1.0
In2I2O2,3.0
In2I2S2,3.0
In2I2Se2,3.0
In2I6,3.0
In2MnSe4,3.0
In2O2,2.0
In2P2S6,3.0
In2P2Se6,3.0
In2P2Te6,1.0
In2S2,2.4
In2S4,2.0
In2Se2,2.75
In2Se3,2.5
In2Se4,2.0
In2Si2Te6,3.0
In2Te2,2.75
In2Te4,1.5
In2Te5,3.0
In2Zn2S5,3.0
In2Zn3S6,3.0
In2ZnS4,3.0
In3Te4,3.0
In4Br4Te4,3.0
In4Br8,3.0
In4I4Te4,3.0
InAs,1.0
InBr2,2.6666666666666665
InC,1.0
InCl2,2.0
InF2,2.0
InH2O2,2.0
InI2,3.0
InLiI4O12,3.0
InN,1.0
InNaI4O12,3.0
InNi5Br2,2.0
InNi5Cl2,2.0
InNi5I2,3.0
InP,1.0
InPd5Br2,3.0
InPd5Cl2,3.0
InPd5I2,3.0
InPt5Br2,2.0
InPt5Cl2,2.0
InPt5I2,3.0
InS2,2.0
InSb,1.0
InSe2,2.0
InSiTe3,1.0
InTe2,3.0
Ir2Br2,1.0
Ir2Br2N2,1.0
Ir2Br2O2,2.0
Ir2Br2S2,3.0
Ir2Br2Se2,3.0
Ir2Br4,1.0
Ir2Br6,2.0
Ir2Cl2,1.0
Ir2Cl2N2,1.0
Ir2Cl2O2,2.0
Ir2Cl2S2,3.0
Ir2Cl2Se2,3.0
Ir2Cl6,2.0
Ir2F2,1.5
Ir2I2,1.0
Ir2I2N2,1.0
Ir2I2O2,2.0
Ir2I2S2,3.0
Ir2I2Se2,3.0
Ir2I6,2.0
Ir2Nb2Te8,3.0
Ir2O2,1.6666666666666667
Ir2O4,2.0
Ir2O6,2.0
Ir2P2S6,3.0
Ir2P2Se6,3.0
Ir2P2Te6,3.0
Ir2S2,2.0
Ir2S4,2.5
Ir2S6,2.0
Ir2Se2,1.2
Ir2Se4,2.0
Ir2Se6,2.0
Ir2Ta2Te8,3.0
Ir2Te2,1.2
Ir2Te4,2.0
Ir2Te6,2.0
Ir4S8,3.0
Ir4Se8,3.0
Ir4Te8,3.0
Ir5Te10,3.0
IrBr2,1.0
IrCl2,1.0
IrF2,2.0
IrH2,1.0
IrI2,1.0
IrLi2,1.0
IrO2,1.6666666666666667
IrS2,1.6666666666666667
IrSe2,1.6666666666666667
IrTe2,2.0
K,1.0
K2Br2,3.0
K2C2H2O6,3.0
K2C2O6,3.0
K2C4,1.0
K2C4H6O6,3.0
K2C6H6O6,3.0
K2Cl2,3.0
K2Cl2O6,3.0
K2F2,3.0
K2I2,3.0
K2N2O6,3.0
K2Os2Br8N2O4,3.0
K2Os2F10N2O2,3.0
K2Pt2Cl6N2,2.0
KI2,2.0
KS2,1.0
KSe2,2.0
KTe2,2.0
KTiS2,2.0
Li2B2,1.0
Li2Cl2O4,3.0
Li2F2O2,2.0
Li2F2S2,2.0
Li2H2O2,3.0
Li2H2S2,3.0
Li2H4N2,3.0
Li2H4N2O6,3.0
Li2Mn,1.0
Li2Mn2P2,3.0
Li2Mo,1.0
Li2Nb,1.0
Li2Ni,1.0
Li2Ni2As2,3.0
Li2Ni2P2,3.0
Li2Ni2Sb2,3.0
Li2Os,1.0
Li2Pb,2.0
Li2PdH2,3.0
Li2Pt,2.0
Li2PtH6O6,3.0
Li2Re,1.0
Li2Rh,3.0
Li2Ru,1.0
Li2Sc,1.0
Li2Ta,1.0
Li2Ti,1.0
Li2Ti2Cl2N2,3.0
Li2V,1.0
Li2V4O10,3.0
Li2W,1.0
Li2Zr,1.0
Li4CO4,2.0
Li4O8Sb4,3.0
Li4Zn2Si2,2.0
Li6H2O8Te2,3.0
LiC12,3.0
LiC5H5N2O5,3.0
LiNiP2S6,3.0
Mg2Cl4,3.0
Mg2Mn2Ge2,1.0
Mg2Mn2Si2,1.0
Mg2Mo2O12Te2,3.0
Mg2P2S6,3.0
Mg2P2Se6,3.0
MgB2H8,3.0
MgBr2,3.0
MgCl2,3.0
MgF2O2,2.0
MgF2S2,2.0
MgH2O2,3.0
MgH2S2,3.0
MgI2,3.0
MgNa2H4O8S2,3.0
Mn2Br2,1.0
Mn2Br2O2,3.0
Mn2Br2S4Sb2,3.0
Mn2Br2Sb2Se4,3.0
Mn2Br2Se2,3.0
Mn2Br6,3.0
Mn2C,1.0
Mn2CF2,2.0
Mn2CH2O2,3.0
Mn2Cl2,2.0
Mn2Cl2N2,3.0
Mn2Cl2O2,3.0
Mn2Cl2S4Sb2,3.0
Mn2Cl2Se2,3.0
Mn2Cl6,3.0
Mn2F2,2.0
Mn2F2N,3.0
Mn2H2NO2,3.0
Mn2H2O4,3.0
Mn2H2S4,3.0
Mn2H4O8S2,3.0
Mn2I2,1.0
Mn2I2Sb2Se4,3.0
Mn2I2Se2,3.0
Mn2I6,3.0
Mn2Mo2O12Te2,3.0
Mn2N,1.0
Mn2NO2,3.0
Mn2O2,2.0
Mn2O8Se2,2.0
Mn2P2S6,3.0
Mn2P2Se6,3.0
Mn2S2,2.0
Mn2Se2,3.0
Mn2Se4,3.0
Mn2Sn2Sr2,1.0
Mn2Sr2Ge2,2.0
Mn2Te2,3.0
Mn2Te6,3.0
Mn3C2,1.0
Mn3C2F2,2.0
Mn3C2H2O2,2.0
Mn3C2O2,2.0
Mn3F2N2,2.0
Mn3H2N2O2,2.0
Mn3N2,1.0
Mn4C3,1.0
Mn4C3F2,2.0
Mn4C3H2O2,2.0
Mn4C3O2,2.0
Mn4H2N3O2,3.0
Mn4N3,3.0
Mn4N3O2,3.0
Mn4Pb4O12,3.0
MnBr2,3.0
MnC6N4Se2,1.0
MnCl2,3.0
MnF12Sb2,3.0
MnF2,2.0
MnH2,1.0
MnH2O2,3.0
MnI2,3.0
MnNa2F3O7P2,3.0
MnO2,2.3333333333333335
MnRe2O8,3.0
MnS2,2.6666666666666665
MnSe2,2.6666666666666665
MnTe2,2.3333333333333335
MnZrBr6,3.0
MnZrCl6,2.0
MnZrF6,2.0
MnZrI6,3.0
Mo2BO2,2.0
Mo2BS2,2.0
Mo2BSe2,3.0
Mo2Br2,1.5
Mo2Br2N2,3.0
Mo2Br2O2,2.0
Mo2Br2S2,2.0
Mo2Br2Se2,2.0
Mo2Br4,2.0
Mo2Br4O4,3.0
Mo2C,1.0
Mo2CF2,2.0
Mo2CH2O2,2.0
Mo2CO2,2.0
Mo2CS2,2.0
Mo2CSe2,3.0
Mo2Cl2,1.5
Mo2Cl2N2,3.0
Mo2Cl2O2,2.0
Mo2Cl2S2,2.0
Mo2Cl2Se2,2.0
Mo2Cl4,2.0
Mo2Cl6,3.0
Mo2F2,3.0
Mo2F2N,2.0
Mo2H2NO2,2.0
Mo2I2,1.0
Mo2I2N2,3.0
Mo2I2O2,2.0
Mo2I2S2,2.0
Mo2I2Se2,2.0
Mo2I4,1.0
Mo2I6,3.0
Mo2N,1.0
Mo2NO2,2.0
Mo2NS2,2.0
Mo2NSe2,2.0
Mo2O10P2,3.0
Mo2O2,2.0
Mo2O4,3.0
Mo2O6,3.0
Mo2P2S6,2.0
Mo2P2Se6,2.0
Mo2P2Te6,1.0
Mo2S2,2.0
Mo2S4,2.0
Mo2S6,2.0
Mo2Se2,1.8
Mo2Se4,2.0
Mo2Se6,2.0
Mo2Ta2O11,3.0
Mo2Te2,1.25
Mo2Te4,2.0
Mo2Te6,3.0
Mo2V2O10,3.0
Mo2W2S8,3.0
Mo2W2Se8,3.0
Mo2W2Te8,3.0
Mo2Zn2O12Te2,3.0
Mo2Zn2O8,3.0
Mo2ZrO8,3.0
Mo3C2,1.0
Mo3C2F2,2.0
Mo3C2H2O2,2.0
Mo3C2O2,2.0
Mo3F2N2,2.0
Mo3H2N2O2,2.0
Mo3N2,1.0
Mo3N2O2,2.0
Mo3WS8,3.0
Mo3WSe8,3.0
Mo3WTe8,3.0
Mo4C3,1.0
Mo4C3F2,3.0
Mo4C3H2O2,2.0
Mo4C3O2,2.0
Mo4F2N3,2.0
Mo4H2N3O2,2.0
Mo4N3,2.0
Mo4N3O2,2.0
MoAs2,2.0
MoAsSb,1.0
MoBr2,1.3333333333333333
MoBrCl,2.0
MoBrI,1.0
MoCl2,2.0
MoClI,1.5
MoF2,2.0
MoH2,1.0
MoH2O2,2.0
MoI2,1.0
MoO2,2.3333333333333335
MoOS,3.0
MoOSe,3.0
MoOTe,2.0
MoS2,2.3333333333333335
MoSSe,2.5
MoSTe,2.5
MoSb2,1.0
MoSe2,2.3333333333333335
MoSeTe,2.5
MoTe2,2.3333333333333335
MoW3S8,3.0
MoW3Se8,3.0
MoW3Te8,3.0
N2Si6,1.0
Na,1.0
Na2B2H8O8,3.0
Na2C2H6N8O2,3.0
Na2C2N2S2,3.0
Na2C4,1.0
Na2F2O2,2.0
Na2F2S2,2.0
Na2H2O2,3.0
Na2H2S2,3.0
Na2H8I2O4,3.0
Na2Nb2Cl12,3.0
Na2Ni2As2,3.0
Na2Ni2P2,3.0
Na2Ni2Sb2,3.0
Na2PtH6O6,3.0
Na2SnH6O6,3.0
Na2Ta2Cl12,3.0
Na4As4O8,3.0
Na4O8S4,3.0
NaBr4C6O2,2.0
NaNb3O4,2.0
NaW2Br6O2,3.0
Nb2As2Ge2,2.0
Nb2BO2,2.0
Nb2BS2,3.0
Nb2BSe2,3.0
Nb2Br2,1.5
Nb2Br2N2,3.0
Nb2Br2O2,3.0
Nb2Br2S2,3.0
Nb2Br2Se2,3.0
Nb2Br4O2,3.0
Nb2Br4S4,3.0
Nb2Br4Se4,3.0
Nb2Br6,3.0
Nb2C,1.0
Nb2CF2,3.0
Nb2CH2O2,3.0
Nb2CO2,3.0
Nb2CS2,3.0
Nb2CSe2,3.0
Nb2Cl2,2.0
Nb2Cl2N2,3.0
Nb2Cl2O2,3.0
Nb2Cl2S2,3.0
Nb2Cl2Se2,3.0
Nb2Cl4,3.0
Nb2Cl4S4,3.0
Nb2Cl4Se4,3.0
Nb2Cl6,3.0
Nb2F2,2.5
Nb2F2N,2.0
Nb2Ge2Sb2,2.0
Nb2H2NO2,2.0
Nb2I2,1.0
Nb2I2N2,3.0
Nb2I2O2,2.0
Nb2I2O4,3.0
Nb2I2S2,3.0
Nb2I2Se2,3.0
Nb2I4,3.0
Nb2I4O2,3.0
Nb2I6,3.0
Nb2N,1.0
Nb2NO2,3.0
Nb2NS2,3.0
Nb2NSe2,3.0
Nb2Ni2Te10,3.0
Nb2O2,2.0
Nb2O4,2.0
Nb2O6,2.0
Nb2Os2Te8,3.0
Nb2P2S6,3.0
Nb2P2Se6,2.0
Nb2P2Te6,2.0
Nb2Pd2Te10,3.0
Nb2PdS6,3.0
Nb2PdSe6,3.0
Nb2S2,2.0
Nb2S6,3.0
Nb2Se2,2.0
Nb2Se6,3.0
Nb2Te2,1.8
Nb2Te4,1.0
Nb2Te6,3.0
Nb3Br7S,3.0
Nb3Br8,3.0
Nb3C2,2.0
Nb3C2F2,3.0
Nb3C2H2O2,2.0
Nb3C2O2,3.0
Nb3Cl7Te,3.0
Nb3Cl8,3.0
Nb3F2N2,2.0
Nb3H2N2O2,2.0
Nb3I7Te,3.0
Nb3I8,3.0
Nb3N2,2.0
Nb3N2O2,2.0
Nb3Te6,3.0
Nb4C3,2.0
Nb4C3F2,3.0
Nb4C3H2O2,3.0
Nb4C3O2,3.0
Nb4F2N3,2.0
Nb4Ge2Te8,3.0
Nb4H2N3O2,2.0
Nb4I2Te12,3.0
Nb4N3,2.0
Nb4N3O2,3.0
Nb4Ni4Te8,3.0
Nb4O8,2.0
Nb4S12,3.0
Nb4Si2Te8,3.0
Nb6Ge2Te12,3.0
Nb6Si2Te12,3.0
Nb8C4,1.0
NbAs2,2.0
NbAsSb,2.0
NbBr2,2.0
NbBrCl,2.0
NbBrI,2.0
NbCl2,2.3333333333333335
NbClI,2.0
NbF2,2.0
NbF4,3.0
NbH2,1.0
NbH2O2,2.0
NbI2,1.6666666666666667
NbO2,2.0
NbS2,2.6666666666666665
NbSSe,3.0
NbSTe,3.0
NbSb2,1.5
NbSe2,2.6666666666666665
NbSeTe,3.0
NbTe2,2.3333333333333335
Ni2As2O7,3.0
Ni2Br2,1.5
Ni2Br2N2,1.0
Ni2Br2O2,3.0
Ni2Br2S2,3.0
Ni2Br2Se2,3.0
Ni2Br6,3.0
Ni2C4N6,1.0
Ni2Cl2,2.0
Ni2Cl2N2,1.0
Ni2Cl2O2,3.0
Ni2Cl2S2,3.0
Ni2Cl2Se2,3.0
Ni2Cl6,2.5
Ni2F2,2.0
Ni2F2O4,2.0
Ni2F2S4,3.0
Ni2H2O4,3.0
Ni2H2S4,3.0
Ni2I2,1.0
Ni2I2N2,1.0
Ni2I2O2,3.0
Ni2I2S2,3.0
Ni2I2Se2,3.0
Ni2I6,2.0
Ni2O2,3.0
Ni2P2S6,3.0
Ni2P2Se5,3.0
Ni2P2Se6,3.0
Ni2P2Te6,1.0
Ni2S2,2.6
Ni2S4,3.0
Ni2S6,3.0
Ni2Sb2Si2,1.0
Ni2SbTe2,3.0
Ni2Se2,2.4
Ni2Se4,3.0
Ni2Se6,3.0
Ni2Ta2Te10,3.0
Ni2Ta4S10,3.0
Ni2Ta4Se10,3.0
Ni2Te2,2.2
Ni2Te4,3.0
Ni2Te6,3.0
Ni4Ta2Se2Te2,3.0
Ni4Ta2Te4,3.0
Ni4Ta2Te6,3.0
Ni4Ta4Te8,3.0
Ni8As4Si4,2.0
NiBr2,2.6666666666666665
NiC10Cl2N2,1.0
NiC12Cl2N2,1.0
NiC2N2S2,1.0
NiC4Cl2N2,1.0
NiC4H8N2O4,3.0
NiC6Cl2H4N2,3.0
NiCl2,2.3333333333333335
NiCl2O8,3.0
NiF2,2.0
NiH2,1.0
NiH2O2,3.0
NiI2,2.3333333333333335
NiO2,2.3333333333333335
NiPS3,1.0
NiRe2O8,3.0
NiS2,2.0
NiSe2,2.3333333333333335
NiTe2,2.3333333333333335
NiV2Se4,3.0
NiZrBr6,3.0
NiZrCl6,3.0
NiZrF6,3.0
NiZrI6,3.0
O10P4,3.0
O14S2Te4,3.0
O2Sb,2.0
O4S8Sb8,3.0
O6Sb4,3.0
O8P2Sb2,3.0
O8Te4,3.0
OS2Sb2,3.0
OSb2Se2,3.0
OSb2Te2,3.0
Os2Br2,1.0
Os2Br2N2,1.0
Os2Br2O2,2.0
Os2Br2S2,3.0
Os2Br2Se2,1.0
Os2Br6,2.0
Os2Cl2,1.0
Os2Cl2N2,1.0
Os2Cl2O2,2.0
Os2Cl2S2,2.0
Os2Cl2Se2,1.0
Os2Cl6,2.0
Os2F2,2.0
Os2I2,1.0
Os2I2O2,1.0
Os2I2S2,1.0
Os2I2Se2,1.0
Os2I6,1.0
Os2O2,1.6666666666666667
Os2O4,3.0
Os2P2S6,2.0
Os2P2Se6,1.0
Os2P2Te6,1.0
Os2S2,1.0
Os2S4,2.0
Os2Se2,1.0
Os2Se4,2.0
Os2Se6,1.0
Os2Ta2Te8,3.0
Os2Te2,1.0
Os2Te4,1.0
Os2Te6,1.0
OsBr2,1.0
OsCl2,1.0
OsCl2O,3.0
OsF2,2.0
OsH2,1.0
OsH2O2,2.0
OsI2,1.0
OsO2,2.0
OsS2,1.3333333333333333
OsSe2,1.0
OsTe2,1.0
P2,1.0
P2Sb2Se6,3.0
P2Sb2Te6,1.0
P2Si6,1.0
P4,1.0
P8Si4,3.0
Pb2Br2,2.0
Pb2Br2N2,1.0
Pb2Br2O2,3.0
Pb2Br2S2,2.0
Pb2Br2Se2,2.0
Pb2Br4,3.0
Pb2Cl2,2.0
Pb2Cl2N2,1.0
Pb2Cl2O2,3.0
Pb2Cl2S2,2.0
Pb2Cl2Se2,2.0
Pb2F2,2.0
Pb2I2,2.0
Pb2I2N2,1.0
Pb2I2O2,3.0
Pb2I2S2,2.0
Pb2I2Se2,2.0
Pb2O2,2.3333333333333335
Pb2P2S6,3.0
Pb2P2Se6,3.0
Pb2P2Te6,3.0
Pb2S2,2.3333333333333335
Pb2S4,3.0
Pb2Se2,2.25
Pb2Se4,3.0
Pb2Se6,3.0
Pb2Te2,2.0
Pb2Te4,3.0
Pb2Te6,3.0
Pb4O4,3.0
Pb6As2,1.0
Pb6N2,1.0
Pb6P2,1.0
Pb6Sb2,1.0
PbBr2,3.0
PbCl2,3.0
PbF2,2.0
PbF4,3.0
PbH2O2,3.0
PbI2,3.0
PbO,2.0
PbO2,2.3333333333333335
PbS,2.0
PbS2,2.0
PbSb2Te4,3.0
PbSe,2.0
PbSe2,2.3333333333333335
PbTe,3.0
PbTe2,1.0
PbWO4,3.0
Pd2Br2,1.0
Pd2Br2N2,1.0
Pd2Br2O2,3.0
Pd2Br2S2,3.0
Pd2Br6,2.5
Pd2Cl2,1.5
Pd2Cl2N2,1.0
Pd2Cl2O2,3.0
Pd2Cl2S2,3.0
Pd2Cl2Se2,3.0
Pd2Cl4,3.0
Pd2Cl6,2.5
Pd2F2,2.5
Pd2I2,1.0
Pd2I2N2,1.0
Pd2I2O2,3.0
Pd2I2S2,3.0
Pd2I2Se2,3.0
Pd2I4O12,3.0
Pd2I6,2.0
Pd2N4O12,3.0
Pd2O2,1.0
Pd2O6Se2,3.0
Pd2P2S6,3.0
Pd2P2Se6,3.0
Pd2P2Te6,3.0
Pd2S2,1.3333333333333333
Pd2S4,3.0
Pd2Se2,1.6666666666666667
Pd2Se4,3.0
Pd2Te2,1.6666666666666667
Pd2Te4,3.0
Pd3P2S8,3.0
Pd3Ta3Te14,3.0
Pd4I8,3.0
Pd4P4S4,3.0
Pd4P4Se4,3.0
Pd4Tl2Se6,3.0
Pd6Ta4Te10,3.0
PdBr2,2.0
PdCl2,2.3333333333333335
PdF2,2.0
PdH2O2,2.0
PdI2,1.6666666666666667
PdO,1.0
PdO2,1.6666666666666667
PdS2,1.6666666666666667
PdSe2,2.0
PdTa2S6,3.0
PdTa2Se6,3.0
PdTe2,2.3333333333333335
Pt2Br2,1.0
Pt2Br2N2,1.0
Pt2Br2O2,2.0
Pt2Br2S2,3.0
Pt2Br2Se2,3.0
Pt2Br6,2.0
Pt2Cl2,2.0
Pt2Cl2N2,1.0
Pt2Cl2O2,2.0
Pt2Cl2S2,3.0
Pt2Cl2Se2,3.0
Pt2Cl6,2.5
Pt2F2,1.0
Pt2I2,1.0
Pt2I2N2,1.0
Pt2I2O2,2.0
Pt2I2S2,3.0
Pt2I2Se2,3.0
Pt2I4,1.0
Pt2I6,2.0
Pt2O2,1.3333333333333333
Pt2P2S6,2.0
Pt2P2Se6,3.0
Pt2P2Te6,2.0
Pt2S2,1.4
Pt2S4,3.0
Pt2Se2,1.6
Pt2Se4,3.0
Pt2Se6,3.0
Pt2Ta2Te10,3.0
Pt2Ta4Se14,3.0
Pt2Te2,2.3333333333333335
Pt2Te4,3.0
Pt2Te6,3.0
Pt4I8,3.0
Pt4Tl2S6,3.0
Pt4Tl2Se6,3.0
Pt4Tl2Te6,3.0
PtBr2,1.0
PtCl2,1.3333333333333333
PtF2,2.0
PtH2,1.0
PtH2O2,2.0
PtI2,1.0
PtO2,1.6666666666666667
PtS2,1.6666666666666667
PtSe2,1.6666666666666667
PtTe2,2.0
Rb2Br2,3.0
Rb2Br2F8,3.0
Rb2C2F6O6S2,3.0
Rb2C4,1.0
Rb2Cl2,3.0
Rb2F2,3.0
Rb2I2,3.0
RbI2,2.0
RbS2,1.0
RbSe2,1.0
RbSnS2,2.0
RbTe2,2.0
RbTiS2,2.0
Re2Br2,1.0
Re2Br4,1.0
Re2Br6,2.0
Re2Cl2,1.0
Re2Cl4,1.0
Re2Cl6,2.0
Re2F2,1.5
Re2I2,1.0
Re2I4,1.0
Re2I6,1.0
Re2N2,1.0
Re2O2,1.6666666666666667
Re2O4,3.0
Re2S2,1.0
Re2S4,3.0
Re2Se2,1.0
Re2Se4,3.0
Re2Te2,1.0
Re2Te4,1.0
Re2ZnO8,3.0
Re4O8,3.0
Re4S8,3.0
Re4Se8,3.0
Re4Te8,3.0
Re6Cl2Se8,3.0
ReBr2,1.0
ReCl2,1.0
ReF2,2.0
ReH2,1.0
ReI2,1.0
ReO2,2.0
ReS2,2.0
ReSe2,1.6666666666666667
ReTe2,1.0
Rh2Br2,1.0
Rh2Br2N2,1.0
Rh2Br2O2,3.0
Rh2Br2S2,3.0
Rh2Br2Se2,3.0
Rh2Br4,2.0
Rh2Br6,2.5
Rh2Cl2,1.0
Rh2Cl2N2,1.0
Rh2Cl2O2,3.0
Rh2Cl2S2,3.0
Rh2Cl2Se2,3.0
Rh2Cl2Te2,3.0
Rh2Cl4,2.0
Rh2Cl6,2.5
Rh2F2,2.0
Rh2I2,1.0
Rh2I2N2,1.0
Rh2I2O2,3.0
Rh2I2S2,3.0
Rh2I2Se2,3.0
Rh2I6,2.0
Rh2O2,1.6666666666666667
Rh2O6,1.0
Rh2P2S6,3.0
Rh2P2Se6,3.0
Rh2P2Te6,3.0
Rh2S2,2.4
Rh2S4,2.5
Rh2Se2,2.8
Rh2Se4,2.5
Rh2Ta2Te8,3.0
Rh2Te2,2.6
Rh2Te4,2.5
Rh2Te6,2.0
Rh4S8,3.0
Rh4Se8,3.0
RhBr2,1.3333333333333333
RhCl2,2.0
RhF2,2.0
RhH2,1.0
RhH2O2,2.0
RhI2,1.6666666666666667
RhO2,2.3333333333333335
RhS2,2.0
RhSe2,2.3333333333333335
RhTe2,2.3333333333333335
Ru2Br2,1.0
Ru2Br2N2,1.0
Ru2Br2O2,2.0
Ru2Br2S2,3.0
Ru2Br2Se2,3.0
Ru2Br6,2.5
Ru2Cl2,1.0
Ru2Cl2N2,1.0
Ru2Cl2O2,2.0
Ru2Cl2S2,3.0
Ru2Cl2Se2,3.0
Ru2Cl6,2.5
Ru2F2,1.5
Ru2F8,3.0
Ru2I2,1.0
Ru2I2N2,1.0
Ru2I2O2,2.0
Ru2I2S2,3.0
Ru2I2Se2,3.0
Ru2I6,2.0
Ru2O2,1.6666666666666667
Ru2O4,3.0
Ru2P2S6,3.0
Ru2P2Se6,3.0
Ru2P2Te6,2.0
Ru2S2,2.0
Ru2S4,2.0
Ru2Se2,1.4
Ru2Se4,2.0
Ru2Se6,2.0
Ru2Ta2Te8,3.0
Ru2Te2,1.5
Ru2Te4,2.0
Ru2Te6,2.0
RuBr2,1.6666666666666667
RuCl2,1.6666666666666667
RuCl2O,3.0
RuF2,2.0
RuH2,1.0
RuH2O2,2.0
RuI2,1.0
RuO2,2.0
RuS2,2.0
RuSe2,1.6666666666666667
RuTe2,1.6666666666666667
S2Sb,1.6666666666666667
S2Sb2,1.0
S2Sb2Se,3.0
S2Sb2Te,3.0
S2Si,3.0
S2Si2,1.5
S3Sb2,3.0
S4Sb2,1.0
S8Si4,3.0
SSb2Se2,3.0
SSb2Te2,3.0
Sb2,1.0
Sb2Se2,1.3333333333333333
Sb2Se2Te,3.0
Sb2Se3,3.0
Sb2Se4,1.0
Sb2SeTe2,3.0
Sb2Si6,1.0
Sb2Te2,1.0
Sb2Te3,3.0
Sb2Te4,1.0
Sb4,1.0
SbSe2,1.6666666666666667
SbTe2,1.0
Sc2Br2,2.5
Sc2Br2N2,2.0
Sc2Br2O2,3.0
Sc2Br2S2,3.0
Sc2Br2Se2,3.0
Sc2Br4,3.0
Sc2Br6,3.0
Sc2C,2.0
Sc2CCl2,3.0
Sc2CF2,3.0
Sc2CH2O2,2.0
Sc2CO2,2.0
Sc2Cl2,3.0
Sc2Cl2H2,3.0
Sc2Cl2N,3.0
Sc2Cl2N2,2.0
Sc2Cl2O2,3.0
Sc2Cl2S2,3.0
Sc2Cl2Se2,3.0
Sc2Cl4,3.0
Sc2Cl6,3.0
Sc2F2,2.0
Sc2F2N,3.0
Sc2H2NO2,2.0
Sc2I2,2.5
Sc2I2N2,2.0
Sc2I2O2,3.0
Sc2I2S2,3.0
Sc2I2Se2,3.0
Sc2I6,3.0
Sc2N,2.0
Sc2NO2,2.0
Sc2O13Te5,3.0
Sc2O2,2.0
Sc2O4,2.0
Sc2P2S6,3.0
Sc2P2S8,3.0
Sc2P2Se6,3.0
Sc2P2Te6,3.0
Sc2S2,2.0
Sc2S4,2.0
Sc2S6,3.0
Sc2Se2,2.0
Sc2Se6,3.0
Sc2Te2,2.0
Sc2Te4,2.0
Sc2Te6,3.0
Sc3C2,2.0
Sc3C2F2,3.0
Sc3C2H2O2,2.0
Sc3C2O2,2.0
Sc3F2N2,3.0
Sc3H2N2O2,2.0
Sc3N2,2.0
Sc3N2O2,2.0
Sc4C3,3.0
Sc4C3F2,3.0
Sc4C3H2O2,2.0
Sc4C3O2,2.0
Sc4F2N3,3.0
Sc4H2N3O2,3.0
Sc4I4O4,3.0
Sc4N3,3.0
Sc4N3O2,2.0
Sc4S6,2.0
ScBr2,2.6666666666666665
ScCl2,2.6666666666666665
ScF2,2.0
ScH2,2.0
ScH2O2,2.0
ScI2,2.6666666666666665
ScO2,2.0
ScS2,2.0
ScSe2,2.6666666666666665
ScTe2,2.3333333333333335
Se2Si,3.0
Se2Si2,1.0
Si2,1.0
Si2Te2,1.0
SiTe2,1.0
Sn2,1.0
Sn2Br2,2.0
Sn2Br2N2,2.0
Sn2Br2O2,2.0
Sn2Br2S2,3.0
Sn2Br2Se2,3.0
Sn2C2H6O6P2,3.0
Sn2Cl2,2.0
Sn2Cl2N2,2.0
Sn2Cl2O2,2.0
Sn2Cl2S2,3.0
Sn2Cl2Se2,3.0
Sn2F2,2.0
Sn2F2O6P2,3.0
Sn2H2,1.0
Sn2H2O6P2,3.0
Sn2I2,2.0
Sn2I2N2,1.0
Sn2I2O2,2.0
Sn2I2S2,3.0
Sn2I2Se2,3.0
Sn2O2,2.6666666666666665
Sn2O6P2,2.0
Sn2O8S2,3.0
Sn2P2S6,3.0
Sn2P2Se6,3.0
Sn2P2Te6,1.0
Sn2PS6,3.0
Sn2S2,2.5
Sn2Se2,2.5
Sn2Se4,2.0
Sn2Te2,2.0
Sn2Te4,1.0
Sn6As2,1.0
Sn6N2,1.0
Sn6P2,1.0
Sn6Sb2,1.0
SnBr2,3.0
SnCl2,3.0
SnF2,3.0
SnF4,3.0
SnH2O2,2.0
SnI2,3.0
SnO,2.0
SnO2,2.3333333333333335
SnS,3.0
SnS2,2.6666666666666665
SnSe,3.0
SnSe2,2.6666666666666665
SnTe,3.0
SnTe2,2.3333333333333335
Sr2Br2,2.0
Sr2Br2H2,3.0
Sr2C,1.0
Sr2Cl4O8,2.0
Sr2F2,2.0
Sr2F2I2,3.0
Sr2H8O6,3.0
Sr2I2,2.0
Sr2N,3.0
Sr2O12P4,3.0
SrBr2,2.6666666666666665
SrCl2,2.6666666666666665
SrF2,2.0
SrF2O2,2.0
SrH2O2,3.0
SrH2S2,3.0
SrI2,3.0
SrSe2,2.0
SrTa2O7,2.0
SrTe2,2.0
Ta2BO2,2.0
Ta2BS2,3.0
Ta2BSe2,3.0
Ta2Br2,1.5
Ta2Br2N2,3.0
Ta2Br2O2,2.0
Ta2Br2S2,3.0
Ta2Br2Se2,3.0
Ta2Br4,2.0
Ta2Br6,2.0
Ta2C,1.0
Ta2CF2,2.0
Ta2CH2O2,2.0
Ta2CO2,3.0
Ta2CS2,3.0
Ta2CSe2,3.0
Ta2Cl2,2.0
Ta2Cl2N2,3.0
Ta2Cl2O2,3.0
Ta2Cl2S2,3.0
Ta2Cl2Se2,3.0
Ta2Cl6,3.0
Ta2F2,2.5
Ta2F2N,2.0
Ta2H2NO2,2.0
Ta2I2,1.0
Ta2I2N2,3.0
Ta2I2O2,2.0
Ta2I2S2,3.0
Ta2I2Se2,3.0
Ta2I4,2.0
Ta2I4O2,3.0
Ta2I6,2.5
Ta2N,1.0
Ta2NO2,2.0
Ta2NS2,3.0
